RASMC_RNA_0H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	49.8558429333472	44.2485222809554	-0.172133317522924	0.329190813218554
AA926063	0.104379805853796	0.996967520692918	3.25570388146243	0.26213748129009
Aaas	16.3772034770387	10.9452824918612	-0.581379837476244	0.000240151899140042
Aacs	46.89106338518	24.0251017128115	-0.964770457735103	0.0236851893742118
Aaed1	65.6899546989953	20.9939065527298	-1.6457021218823	0.121037276660617
Aagab	19.0933044126112	40.7432453699487	1.09349409495117	0.0292357173708945
Aak1	1.85450800601336	3.53251856391414	0.929660646109215	0.129342375894149
Aamdc	0.429827551444822	3.52100150176574	3.0341559766226	0.0351440357339616
Aamp	58.7069052408915	75.2324918126373	0.357825668957173	0.110363383718152
Aar2	6.1548848065698	9.77556059436917	0.667447582521839	0.10179603125974
Aard	0.45406382143314	0.162723123273497	-1.48047581597565	0.562007750503703
Aars	109.891076781093	156.346364566229	0.508671430106947	0.0423587955389477
Aars2	4.12326868549379	7.26546670241162	0.817266998421124	0.0803335652260468
Aarsd1	10.1910964072766	15.9082926647744	0.642469736812379	0.205994701130367
Aasdhppt	39.7694275569644	60.5852085194367	0.607305816101985	0.0518479144974978
Aass	3.75796428883208	0.327044624636202	-3.52239194984008	5.11482636119748e-05
Aatf	15.8744758671848	24.3956144222242	0.619912860368237	0.0516028983008397
Abca1	7.90831599262971	6.77553193295923	-0.223036304085064	0.368668396330488
Abca2	6.72310083458424	7.60506514325557	0.177833818202091	0.310646038714665
Abca5	1.58648701078006	2.93424908709059	0.887155636577751	0.137994262164746
Abca7	3.35887836868234	14.3761098948438	2.09762188342705	0.0250498606117686
Abca8a	3.89847539667882	0.274245614315866	-3.82936957507709	0.060987079679516
Abcb10	7.56560947777012	5.87140072592288	-0.365751584485758	0.0834793217481376
Abcb1a	0.502274806954868	0.76431053894116	0.605682009271177	0.237835335459995
Abcb1b	19.7130453302496	12.1346660991408	-0.700016254010667	0.0611414037051069
Abcb6	9.9192985616258	5.20280658549459	-0.930948028664828	0.0200065502668183
Abcb7	6.07632702793338	5.81213592822977	-0.0641310741533759	0.859087759142274
Abcb8	13.6689139767494	15.2941485233861	0.162081167036287	0.483778867907591
Abcc1	8.73084447354702	9.32418095450248	0.0948558007313404	0.628068558678846
Abcc10	2.42959404438024	2.16597151930234	-0.165701004321558	0.329605226227147
Abcc3	8.01798513986848	3.53401584124084	-1.18193123688193	0.0195429779792847
Abcc4	2.46608637276823	8.76243308802073	1.82910819250623	0.00088154412186158
Abcc5	10.174638388091	9.10730330162814	-0.159881685000766	0.560093981103884
Abcc9	1.58215133564121	0.155491541399211	-3.34697959652179	0.0980789042624064
Abcd1	5.39479288575079	2.98382558522224	-0.854404365920002	0.131941743796142
Abcd3	18.6314635753269	31.6230315999105	0.76323467278579	0.0257099841723373
Abcd4	18.2508249017311	9.56216427632891	-0.932552576209145	0.00513682350884985
Abce1	61.3466389394741	51.2366261689664	-0.259808823480007	0.0968111297554271
Abcf1	46.4788892715765	69.6480786598664	0.583507962229694	0.0147167666111967
Abcf2	39.9862653450902	63.7355899703052	0.672594656811779	0.0513879035768851
Abcf3	20.0644687832035	39.4633349513714	0.97586991934147	0.0136783780239477
Abcg1	0.921603133861447	0.640912198375657	-0.524018893900916	0.206367454351859
Abcg3	2.29411526416254	2.17580843218752	-0.0763863381685067	0.721834319223606
Abcg3l1	4.5694226192929	6.36506475102425	0.478163309065122	0.276205160803006
Abcg3l2	3.25068042313546	3.05555395901473	-0.0893077722851702	0.858729121257665
Abcg3l3	11.0437904728649	10.18590328953	-0.116661497233897	0.832403371482376
Abcg3l4	0.120216130861401	0.960885299847154	2.99873373486842	0.22194989003029
Abhd1	6.60587808178946	7.606080442043	0.20340285355554	0.391336591372344
Abhd11	9.64533876129049	10.4794580706905	0.119660297745988	0.71330004049231
Abhd12	24.0676424532518	45.8621411628085	0.930208882009979	0.00646679186225564
Abhd13	4.69070023413581	5.53484611430882	0.23873989991611	0.222993539166815
Abhd14a	3.21368699106151	3.44739284217898	0.101276288863486	0.834396109568383
Abhd14b	27.3987743966573	23.4965514088713	-0.22166233208604	0.425921946405817
Abhd16a	30.5444069640953	30.0101769655383	-0.0254564036798338	0.907262120296608
Abhd17a	35.1093123331507	269.463685015527	2.94016521314297	0.000779040025237305
Abhd17b	11.9663454299113	18.7045239657127	0.644404634773859	0.000449449870675998
Abhd17c	13.4842758135412	11.6612486967172	-0.209555760422476	0.158516264348977
Abhd2	13.597391943707	27.4705329907118	1.01455494126208	0.00780705821776343
Abhd3	0.921771424403841	2.78236794155791	1.59383226625459	0.212638870613338
Abhd4	61.4393734329192	74.5573199665934	0.279186498552041	0.192631866616979
Abhd5	11.7618522174004	44.2420603003061	1.9113033028495	0.0190591943750492
Abhd6	12.4441566265505	21.9591384754143	0.819352995718251	0.0399354684682143
Abhd8	17.3164071382216	22.97508835121	0.407930783161645	0.00596974054970923
