Gene	RASMC_RNA_0H	RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H
A1bg	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
A1cf	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
A1i3	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
A2m	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
A3galt2	49.8558429333472	79.9216493533161	21.9892767297224	106.518152665087	44.2485222809554
A4galt	0.10412389006911	0.118584905694567	0.098109144447727	0.101547582454716	0.096036256141404
AA926063	0.104379805853796	0.815474722803193	0.0968692399936133	0.267388530437844	0.996967520692918
Aaas	16.3772034770387	12.0823921160831	6.86034293077494	23.9975352617822	10.9452824918612
Aacs	46.89106338518	33.7294484871697	28.8203288702689	49.9765512446268	24.0251017128115
Aadac	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Aadacl2	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Aadacl3	0.103933771121142	0.10330493628222	0.0979952785205257	0.101020019074265	0.0959986064385136
Aadat	0.103282704901671	0.103278500125518	0.123762070117432	0.101010902104189	0.0953673284564319
Aaed1	65.6899546989953	49.0306580653912	38.3832998073162	69.4048225458171	20.9939065527298
Aagab	19.0933044126112	18.361500767929	20.2092091157612	30.7724576312769	40.7432453699487
Aak1	1.85450800601336	2.6972437727439	2.08342630378025	4.22314738956919	3.53251856391414
Aamdc	0.429827551444822	0.722948442875377	1.85424415173904	0.949748065731692	3.52100150176574
Aamp	58.7069052408915	67.7700555249374	61.8313137279085	112.965381036751	75.2324918126373
Aanat	0.208234012217497	0.106028773814277	0.147135556583765	0.123377675694216	0.0959833478764785
Aar2	6.1548848065698	7.39924144188298	6.1429104736966	10.2334209718973	9.77556059436917
Aard	0.45406382143314	0.186821761332838	0.211280527193099	0.446916734246539	0.162723123273497
Aars	109.891076781093	133.510614894062	62.8346602197969	173.473399433633	156.346364566229
Aars2	4.12326868549379	3.75993233780567	3.29222332837668	6.5342248426818	7.26546670241162
Aarsd1	10.1910964072766	8.19031889501193	5.95560785808553	13.2999794182433	15.9082926647744
Aasdhppt	39.7694275569644	24.6738904469039	36.7768468960597	60.7154780481332	60.5852085194367
Aass	3.75796428883208	2.85615218054149	0.625191911433897	5.76395555680757	0.327044624636202
Aatf	15.8744758671848	13.6312095944423	18.6579365126602	25.5690808926949	24.3956144222242
Aatk	0.127856001477439	0.182498541837509	0.135425483045315	0.112517119498468	0.0956643193556814
Abat	0.104653279194435	0.199879390741598	0.263755018499134	0.188926734366775	0.16801451888537
