RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	21.9892767297224	44.2485222809554	1.00882912399227	0.0155213001792569
AA926063	0.0968692399936133	0.996967520692918	3.36343597723978	0.259304818260054
Aaas	6.86034293077494	10.9452824918612	0.673956590281568	0.000379742271907919
Aacs	28.8203288702689	24.0251017128115	-0.262544259460455	0.120792169693117
Aaed1	38.3832998073162	20.9939065527298	-0.870508096413758	0.0605565400100902
Aagab	20.2092091157612	40.7432453699487	1.01154803839902	0.0184397351851603
Aak1	2.08342630378025	3.53251856391414	0.761739073099279	0.00479995404368399
Aamdc	1.85424415173904	3.52100150176574	0.925154623753319	0.128303060091478
Aamp	61.8313137279085	75.2324918126373	0.283018216555451	0.10098325388413
Aar2	6.1429104736966	9.77556059436917	0.670257080601766	0.0841412562670384
Aard	0.211280527193099	0.162723123273497	-0.376740531115467	0.647516987926579
Aars	62.8346602197969	156.346364566229	1.31511318483439	0.00587450089372657
Aars2	3.29222332837668	7.26546670241162	1.14199326889927	0.0322621796427584
Aarsd1	5.95560785808553	15.9082926647744	1.4174583396161	0.0245467301811671
Aasdhppt	36.7768468960597	60.5852085194367	0.720167818188027	0.00345599814598562
Aass	0.625191911433897	0.327044624636202	-0.934811611021137	0.074886176629641
Aatf	18.6579365126602	24.3956144222242	0.386832379940137	0.110864096372438
Abca1	2.29436807014559	6.77553193295923	1.56223736205837	0.024155074647017
Abca2	4.43044650315238	7.60506514325557	0.779508503989508	0.0208519791093691
Abca5	2.70393102878023	2.93424908709059	0.117932993772863	0.76159499642515
Abca7	1.92888237804	14.3761098948438	2.8978362657497	0.0191219578735796
Abca8a	1.44032644832746	0.274245614315866	-2.39285537927621	0.013933260886373
Abcb10	6.33965048891388	5.87140072592288	-0.110698580702447	0.522869794567817
Abcb1a	0.877646701985941	0.76431053894116	-0.199481373985437	0.477484653969703
Abcb1b	41.1260589214066	12.1346660991408	-1.7609184146703	0.00144033445224682
Abcb6	4.14584647895503	5.20280658549459	0.327623381758695	0.172550454912202
Abcb7	1.76921248600119	5.81213592822977	1.71596111459697	0.0608988735401334
Abcb8	5.33290078598861	15.2941485233861	1.51998739616513	0.0189642583370902
Abcc1	5.93208473948595	9.32418095450248	0.652437796385503	0.0621943666997655
Abcc10	1.35798793582856	2.16597151930234	0.67354360990636	0.068778807009815
Abcc3	2.40801001098127	3.53401584124084	0.553467116867812	0.220018793098564
Abcc4	1.85331066524551	8.76243308802073	2.24122678586836	0.000147869876426385
Abcc5	4.68221155637998	9.10730330162814	0.959833809944241	0.0364627505291073
