RASMC_RNA_0H	RASMC_RNA_PDGF_2H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	49.8558429333472	79.9216493533161	0.680823763090305	0.114528687721079
AA926063	0.104379805853796	0.815474722803193	2.96579753487746	0.243785245333033
Aaas	16.3772034770387	12.0823921160831	-0.438782914688846	0.119381922643971
Aacs	46.89106338518	33.7294484871697	-0.475304267618944	0.0427368578062126
Aaed1	65.6899546989953	49.0306580653912	-0.421988645742202	0.288623871487997
Aagab	19.0933044126112	18.361500767929	-0.0563828251088256	0.780180921101159
Aak1	1.85450800601336	2.6972437727439	0.540449419976558	0.278849115698997
Aamdc	0.429827551444822	0.722948442875377	0.75013480413607	0.524501477882485
Aamp	58.7069052408915	67.7700555249374	0.207117747055719	0.277155874334906
Aar2	6.1548848065698	7.39924144188298	0.265645519780403	0.228297287508611
Aard	0.45406382143314	0.186821761332838	-1.28123257880166	0.588443421889966
Aars	109.891076781093	133.510614894062	0.280880206002702	0.138749410627006
Aars2	4.12326868549379	3.75993233780567	-0.133081774963193	0.690290932246609
Aarsd1	10.1910964072766	8.19031889501193	-0.315317741665325	0.569567071350311
Aasdhppt	39.7694275569644	24.6738904469039	-0.6886745860702	0.0832402748052444
Aass	3.75796428883208	2.85615218054149	-0.395878506578769	0.0683142728020717
Aatf	15.8744758671848	13.6312095944423	-0.219795370288737	0.424582348260702
Abca1	7.90831599262971	2.11407506363504	-1.90334391515562	0.0409234743298134
Abca2	6.72310083458424	5.35025008486039	-0.329520459120255	0.33672340887995
Abca5	1.58648701078006	1.19448372640974	-0.40944851064924	0.40725729632901
Abca7	3.35887836868234	3.35571921878936	-0.00135754679590396	0.998058579427279
Abca8a	3.89847539667882	3.18755543842612	-0.290459595944782	0.573165134866928
Abcb10	7.56560947777012	4.01829508663322	-0.91287279576534	0.110676841917699
Abcb1a	0.502274806954868	1.1064456288843	1.13938373895806	0.237567528525222
Abcb1b	19.7130453302496	47.240237738284	1.26086555972426	0.0303151842357434
Abcb6	9.9192985616258	6.28588553204941	-0.658122104294974	0.0334230486354388
Abcb7	6.07632702793338	4.36148202285266	-0.478381074585559	0.418142485082598
Abcb8	13.6689139767494	10.0052937791369	-0.450135093606316	0.0860349150396476
Abcc1	8.73084447354702	6.29615463563668	-0.471650228061692	0.0206924570303418
Abcc10	2.42959404438024	0.599735436303095	-2.01831715285008	0.000822796279424465
Abcc3	8.01798513986848	2.68894082706694	-1.5762017361138	0.00325893098475467
Abcc4	2.46608637276823	2.7348858376959	0.149257281970476	0.777870512074801
Abcc5	10.174638388091	7.510309226901	-0.43803330616816	0.235188302754694
Abcc9	1.58215133564121	1.28528192868189	-0.299802751168838	0.394444431358694
Abcd1	5.39479288575079	3.67000822226796	-0.555784278255434	0.194871868864474
Abcd3	18.6314635753269	9.99981826284118	-0.897767227513974	0.00191201385901488
Abcd4	18.2508249017311	9.427868906353	-0.952958069172852	0.00371156992357838
Abce1	61.3466389394741	81.8619167320663	0.41620814308337	0.156843472820877
Abcf1	46.4788892715765	57.9795602061281	0.31896879775295	0.0529725591869909
Abcf2	39.9862653450902	49.2791091414332	0.301471633525863	0.119642836332996
Abcf3	20.0644687832035	24.2997744089352	0.276299959835516	0.216252065915678
Abcg1	0.921603133861447	1.35433907238608	0.555371449617223	0.37514077783846
Abcg3	2.29411526416254	2.48354261561127	0.114461623398123	0.813284603775087
Abcg3l1	4.5694226192929	13.7264878513662	1.58687874873828	0.242403144562321
Abcg3l2	3.25068042313546	2.56199869095817	-0.343471992011864	0.599513746027475
Abcg3l3	11.0437904728649	7.85070061610087	-0.492342107355279	0.487164766026144
Abcg3l4	0.120216130861401	1.02651381818196	3.09405064998492	0.370008855945222
Abhd1	6.60587808178946	5.55089597041058	-0.251029687721624	0.369516786170405
Abhd11	9.64533876129049	6.70115504010208	-0.525422122987228	0.0394412101101559
Abhd12	24.0676424532518	19.6990553223059	-0.288968383286483	0.266372763251423
Abhd13	4.69070023413581	5.98952844029129	0.352639116805604	0.273443465289334
Abhd14a	3.21368699106151	3.65666693314493	0.18629980581054	0.745198644189228
Abhd14b	27.3987743966573	18.3762658510236	-0.576267726349538	0.0314068735830045
Abhd16a	30.5444069640953	44.9728095445812	0.558144784971655	0.0809009116074661
Abhd17a	35.1093123331507	54.3343774124379	0.630011542224858	0.112790231658853
Abhd17b	11.9663454299113	10.9985359283369	-0.121671122696282	0.71653408422094
Abhd17c	13.4842758135412	13.3600393775661	-0.0133537822427143	0.894519145405314
Abhd2	13.597391943707	44.2858469630847	1.7035157495688	0.043693780248464
Abhd3	0.921771424403841	0.589064434241804	-0.645983593269138	0.75456509441542
Abhd4	61.4393734329192	54.5871008314093	-0.170603427008355	0.477975195221967
Abhd5	11.7618522174004	23.5515758637241	1.00170832660936	0.183435620357696
Abhd6	12.4441566265505	4.86194936520829	-1.35586168476448	0.0881130821870419
Abhd8	17.3164071382216	13.3670347151601	-0.373460166547425	0.0372474155588216
Abi1	42.5152182892152	38.4432603106666	-0.145248651330332	0.170536577426428
Abi2	16.7060621748556	20.9157895746332	0.324220748559181	0.1826533377682
Abl1	1.48293797648574	0.42592889662393	-1.79977374249296	0.108913782840392
Abl2	2.73544119422067	7.59822437644916	1.4738887742005	0.0668812440635062
