BRD4_UNSTIM	BRD4_2H	BRD4_24H
Ccdc62	3850.6092	3943.11525	5633.69755
Ccdc71	3974.53755	4134.69165	5706.75055
Ccdc8	1833.2672	1717.23335	2535.3224
Ccdc82	5647.50685	5370.23455	7475.30125
Ccdc90b	1090.84465	912.13155	1440.55185
Ccdc91	2182.3402	2497.71145	3010.70915
Ccndbp1	6460.43045	6601.10445	6926.90395
Ccng2	2480.8841	2220.46645	4142.2703
Ccni	13635.87465	13338.8741	15383.738
Ccnt2	4484.7936	4608.92985	5262.7776
Ccny	958.6236	1058.54355	1047.44555
Ccpg1	728.7192	720.0783	1000.27325
Cd180	12432.4371	10062.2365	12817.6143
Cd38	5345.2141	5133.61185	5319.6416
Cdc26	1858.09065	1967.5132	2580.3209
Cdc27	4525.3698	3951.31215	5159.9614
Cdc40	1080.6524	1331.362	1243.4196
Cdc42ep2	16153.7368	14303.69555	23019.987
Cdk10	5212.90325	5490.51855	7934.80415
Cdk19	4633.9608	4587.22355	5614.44415
Cdkn1b	10139.3343	7817.91885	14077.3655
Cdkn2aip	4207.6412	3412.6225	6062.41665
Cdkn2aipnl	7679.7442	7266.2863	11051.34205
Cds2	9193.8688	10428.4272	13356.1508
Cep120	6417.12695	5947.124	5917.544
Cep131	1366.1367	1514.6524	1888.55485
Cep162	3301.01995	2670.01485	2614.7118
Cep290	1028.9888	983.1194	1146.8258
Cep57	3320.65015	3468.34865	4819.3986
Cep78	5508.4534	5167.64435	6584.3101
Cep95	3959.0301	3609.57185	4359.58175
Cers4	1214.6472	849.0826	1453.09055
Chd2	20944.3995	20982.35855	19766.7248
Chd6	2511.31315	2105.72445	2807.8121
Chm	404.8083	359.5644	374.68575
Chmp1a	4955.0378	5232.906	7643.78155
Chmp7	3783.73245	4060.7405	4740.2557
Chst14	2896.3871	2936.8468	4385.82695
Ciart	3213.12885	3125.54195	4299.44775
Cir1	2103.44195	2253.4318	2922.43845
Cirbp	15388.12765	15026.0332	26369.3149
Ciz1	4546.9334	4516.7568	6631.7666
Clcn3	2654.07945	2309.9619	2492.7575
Clcn7	6189.7804	4793.24205	7129.6033
Clk2	3638.0768	3765.8131	4936.11545
Cln6	5144.92765	4956.0348	5978.13205
Clns1a	2103.8614	1624.1138	2745.9822
Clpb	795.0081	969.32635	1008.3206
Cmas	2699.49505	2663.0543	2951.1808
Cmtm3	3530.0701	3048.15485	4930.8686
Cnnm3	3489.527	3003.1995	5264.6253
Cnot10	1146.2972	1374.55485	1598.9811
Cnot8	2736.44335	2804.85575	3920.0126
Cnppd1	3387.0267	2971.4118	4373.099
Coasy	9781.46975	8680.70695	15699.6107
Cog1	4960.04655	4683.29665	5985.7343
Cog2	758.09525	677.9033	1088.92315
Cog7	1474.79975	1141.61385	1850.69775
Cog8	3210.6497	2633.2095	4397.8616
Commd7	2865.4766	3324.42085	3726.86365
Copg2	1214.3256	1138.8758	1578.2729
Coprs	736.51595	527.3886	994.017
Coq9	2767.80725	3025.74885	3787.9024
Cox15	11392.0438	16820.928	12160.55335
Cpox	611.09325	450.273	833.9395
Cpt1a	7308.32835	6810.03515	10923.46165
Cpt1c	7387.2094	7755.60235	9842.60175
Cpt2	3357.76715	2968.85635	4220.70415
Crat	19350.07895	21713.6462	36081.32555
Crbn	542.43105	591.0081	712.74995
Crebl2	2867.0055	2673.8547	3394.0951
Crebrf	5638.56975	5727.0843	6054.9002
Cript	2056.09755	2133.46445	2152.1565
Crnkl1	3923.68275	2639.76055	3933.3586
Crocc	1256.9712	1300.57825	1852.13695
Crot	1047.48425	807.32785	1400.11815
Ctc1	10151.80555	9969.53825	12869.6395
Ctgf	43889.83325	40413.71695	38499.95055
Cul4a	1552.25975	1891.96065	2422.26625
Cwc27	1518.12525	1686.08555	1699.5037
Cyb5d2	1718.7835	1663.9011	1893.6118
Cyp2u1	1185.0128	1233.9122	1625.07425
Cyp4v3	2769.93495	2690.16485	3650.5978
Cys1	3154.8651	2107.7379	4751.9565
Dact3	6237.44845	4541.16925	9200.1924
Dars2	2903.5526	3285.0981	2800.1802
Dbp	6632.70625	5821.53985	10839.70805
Dcaf4	509.2569	591.59085	691.39755
Dcaf7	945.1882	730.73295	1116.47235
Dcaf8	3399.837	3186.8075	4114.73295
Dclre1c	1622.1303	1313.3971	2065.3746
Dcps	7365.2681	7643.0484	9701.69785
Dctn5	1786.7626	1915.79075	2036.7259
Ddb2	2790.4725	2619.1011	3451.66105
Ddx10	2313.43835	1847.5212	2100.9492
Ddx52	8202.663	9653.9871	10072.9926
Decr1	2683.6928	2470.06005	3432.76545
Dennd6a	4133.4003	4149.60355	4830.22595
Depdc5	2517.76475	2040.0281	3399.8376
Det1	3578.8866	4704.0155	5570.4016
Dguok	5903.4224	6357.46625	6962.9151
Dhcr7	1620.9108	1575.41675	2155.48435
Dhx16	7035.7467	7459.6938	9067.87825
Dhx30	5044.4808	4948.40395	6463.35775
Dhx32	1563.7943	1640.7843	1835.2589
Dhx33	3167.582	3630.2724	3809.44505
Dhx34	873.28435	877.922	1204.4265
Dhx35	2004.24525	2467.92025	3092.867
Dhx40	3070.35465	3303.9792	2761.56945
Dip2a	1904.57775	2020.64265	2275.06775
Dis3l	1406.7852	1207.354	1747.4608
Dis3l2	2426.7762	1919.9561	2393.66825
Disp1	2576.2374	2789.7896	3634.8357
Dlg3	772.97035	824.85975	1005.3982
Dnajb14	880.8062	675.8976	834.6668
Dnajc17	3561.65085	3134.7947	5898.30895
Dnajc28	959.26825	1101.86355	1012.06735
Doc2a	11405.75255	11132.7436	15055.6307
Dock6	3252.6162	3152.41905	4775.0989
Dolk	8638.2329	11302.10415	12829.66465
Dpy19l4	1577.27015	1259.53865	1881.5721
Dpysl2	4583.30995	3733.77	5897.3859
Dscr3	11683.2128	11390.8857	14103.5493
Dtnb	3971.5332	4269.73725	4626.4658
Dtwd1	991.7957	919.81955	894.1368
Dtx3	2618.3266	2173.78015	3961.1517
Dtx4	8109.3196	8106.5248	9739.215
Dvl2	6721.28455	7185.1723	9500.69035
Dyrk1b	2928.57825	2853.0189	4174.2934
Eapp	9226.9566	8608.88595	14043.86535
Echdc1	2082.2435	2332.3373	2160.2683
Ecsit	2489.21835	2581.50645	3185.58945
Edem2	1067.56325	1406.4838	1204.5243
Efcab7	393.0554	413.32985	509.60585
Efna4	1916.5725	1990.9204	2933.22955
Ehmt2	3467.70995	3527.04845	5134.23045
Eid1	6502.12725	7874.26645	7916.1249
Eif2ak1	3444.4838	3050.77055	4260.65335
Eif2ak3	3690.86165	3389.0278	4391.22815
Eif2ak4	11250.36235	11067.8253	11947.65065
Elp2	2685.7891	3237.63205	3197.97585
