RNA_RASMC_0H	RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_2H	RASMC_RNA_PDGF_24H	RASMC_RNA_PDGF_JQ1_24H
Abhd4	61.4393734329192	54.5871008314093	48.0181845443387	138.048486860013	74.5573199665934
Abhd5	11.7618522174004	23.5515758637241	38.4830299593745	24.6323948876818	44.2420603003061
Abhd6	12.4441566265505	4.86194936520829	6.56354391939542	50.2662065823027	21.9591384754143
Abhd8	17.3164071382216	13.3670347151601	9.9438347926144	29.0751436024527	22.97508835121
Abi1	42.5152182892152	38.4432603106666	39.4148660258107	45.8306483613983	40.39494361235
Abi2	16.7060621748556	20.9157895746332	13.6563440933754	26.9999386872215	16.0172580460441
Abl1	1.48293797648574	0.42592889662393	0.396304194893324	2.49598407551457	0.660977973838252
Abl2	2.73544119422067	7.59822437644916	4.19604261382917	4.23766954609956	2.22968192273081
Abr	8.53175331984526	6.19357278961086	8.2325213532171	24.601645423339	12.7515985228314
Abra	1.20279398289244	2.30191363960502	0.488724113487494	0.238462454544738	0.0865035609849017
Abracl	129.842849836857	111.246543191375	66.8041189335909	150.891783329682	57.0634471111057
Abt1	13.8478242779936	23.2551567253292	14.1331741108984	16.5139583519371	19.9441561070192
Abtb1	9.32322652888859	4.66647807927865	3.18859606353267	15.4175191527016	8.53756997401075
Abtb2	4.66167612767078	15.412514839858	19.7236856790029	6.53777271917703	12.8530314968282
Ac1576	0.456281666215226	0.762873138434736	1.20336530987474	1.10672411466629	0.946296156449241
Acaa1a	28.5820556606263	20.4066698179474	17.5059486512339	40.9000697718105	32.4067608713594
Acaa1b	1.23694790692097	1.17520293039977	0.259927607732283	1.68201779779604	0.945407823152266
Acaa2	26.6165352955765	24.6342104036663	22.7531007482165	55.0689870297806	29.3970959829893
Acaca	15.9443870077223	11.2051586704181	12.6651658234375	23.2887121976147	15.1541250110732
Acad10	5.26430567360492	3.67176241780342	2.22106365168179	6.17625197662081	3.72986329948806
Acad11	20.3436697223359	17.2854392307776	12.0732870660381	34.2935656398234	9.04584011516317
Acad9	15.792848187174	10.5478154868906	5.95543284305891	15.0545150364892	10.7363711623672
Acadl	59.4831528957707	58.8504946899084	71.6721626750944	110.423473589519	89.1382734460836
Acadm	32.2590856131402	30.3260370193969	35.9855821123517	53.8332887410254	49.9519238262883
Acads	14.4426227003102	12.3938859742439	14.0919705920386	30.5139706531659	15.3761950303142
Acadsb	20.0334472703701	15.2680657137109	13.0899172438379	23.8403389657651	5.40560522394059
Acadvl	20.595691625692	21.5612250604445	27.245867600911	45.914912316471	66.5565347768389
Acan	1.57514651330599	9.26625585912424	2.08633667669898	8.62778670115457	0.487392430969362
Acap2	23.1775810297442	18.2367835584444	28.7060194383055	38.8958112262855	31.609754626343
Acap3	8.35097461246384	13.182720678208	17.0223519433493	11.4199537325962	10.8071209975897
Acat1	39.6638553387384	40.9242028079993	38.7042169895262	43.5991868401762	31.6937107126381
Acat2	37.2594241592492	34.0279602052623	22.8687283213434	50.4877718526212	21.5134353628266
Acbd3	33.4156708829154	40.4262581478579	29.984452710506	38.9824328378939	22.2397427312893
Acbd4	11.5537446797631	6.94850294991587	5.18366547107103	15.409116313162	11.3649066934563
Acbd5	6.02864941939803	5.79160930596895	4.64909164796235	10.5716199217977	4.78891290787207
Acbd6	14.3959385478917	16.2947488600087	10.457404064802	33.108710598274	15.0172532594888
Acbd7	0.106825354756575	0.187892637120573	2.19246734850234	0.397616253525442	0.914075563840802
Accs	7.08937479703557	2.20208190905709	1.44430782016504	6.58062675796749	2.49295319384971
Acd	40.6331820066568	29.920731794417	32.9455338624731	54.8762783313924	63.9913206713739
Ace	0.265945601163028	0.89488203588332	0.20469825665533	1.40297478717949	0.133083963579637
Acer2	0.400553731092025	0.622562305104163	0.612327479799474	0.425335751437864	0.405910781227569
Ache	1.78849937502436	2.11366219473382	1.54213450641058	4.76854004023331	0.449447997470868
Acin1	49.6677270022832	41.3596768941768	29.1846544039253	58.3660271692829	44.0576691194397
Ackr3	92.2257351837918	25.9457266228526	13.9859692067538	18.6218069443039	1.52454416066773
Acly	97.858458115861	91.0215678834654	208.660315299096	143.659865727973	228.31462522953
Aco1	72.2511482720927	50.7533375527805	54.430776006347	56.0767882609773	39.9453992246328
Aco2	86.8268068363897	99.9244024216358	78.0754817871327	137.179066874153	89.6828701567697
Acot12	0.101680246236507	0.161227681584357	0.847998292972671	0.103023169791217	0.0934065207519299
Acot13	6.28518682984664	4.42427624683262	7.27686178114851	9.99795658324846	8.3592605465006
Acot2	3.20784677325603	1.9807991509446	0.982095017663903	2.44331330618741	0.649661810724455
Acot3	3.96652241147552	2.45923972787469	0.727774197773957	5.51943677839069	0.923650076342467
Acot7	27.1726645289313	61.7781418001412	60.9904559496058	107.811428008432	96.4999914057276
Acot8	9.23034193793864	6.37405509934751	5.79653458052829	10.018410007968	7.0942134581088
Acot9	42.1631337301167	64.7030955346605	40.4674440822134	78.8129941319363	53.9950759384831
Acox1	24.2258952986424	22.7158342634771	20.793498020566	34.6285096212943	23.8107608504845
Acox3	7.39084392911919	5.22076872878619	4.4306293203857	8.89412448559011	6.06274264230744
Acp1	16.6305147028993	32.974720137976	21.7870697212799	30.3341229541826	15.3572575208373
Acp2	24.2870244162628	18.0255541822076	5.01508859153638	43.7988264771724	5.93860487185447
Acp5	4.54797082621502	3.94355976930159	3.24443770359735	19.092413228905	5.21900809522122
Acp6	18.3279426256852	17.1913829893153	11.2065030393596	27.5511349315889	8.1453394375969
Acpp	0.0975859771075087	0.131270064659932	0.0911974910503535	1.58535400408305	0.117792484815271
Acpt	0.100057766769848	4.27985951060167	1.08657645134155	0.182949293844947	0.104427265220465
Acrbp	1.1232280613395	0.647917612472005	0.857580737740996	1.29714812868252	1.15052734966569
Acsf2	11.5142621184666	7.59007232448112	6.66719882537356	15.9929203164017	4.66863280087124
Acsl1	8.03721685427442	13.6040194936763	17.3600979975584	10.9547968375015	9.44216592055292
Acsl3	32.7515274637981	58.9223223462114	89.6430398897671	42.6879247243125	56.2614600572136
Acsl4	20.4158868903177	97.5813649942836	54.5066840258411	48.64291163608	108.989005032914
Acsl5	85.7863106832391	87.6898454376109	34.8836433851593	96.7938716157285	31.6387790805678
Acsm3	1.42470717508535	1.32574014409847	0.445544479540978	0.785696873215626	0.448150597076521
Acss2	15.9974074863531	16.405203158442	24.0260139232239	19.2861297363136	17.2621262907099
Acss3	0.888885796568294	0.359686981614562	0.549624559492438	0.394327718226846	0.264480076532086
Acta1	25.5344400705883	26.3142528140866	51.1810573017681	3.79282482060015	1.85024183060687
Acta2	5251.23664315476	6011.84353325165	6198.40512074431	945.178031479337	87.9340416264
Actb	4130.33831285514	5058.68460618805	6234.51748676033	3821.41512624568	2914.35155982952
Actbl2	1.64203502810117	1.74809950641816	2.78267980197754	1.61476554599363	0.910434353292771
Actg1	1797.82491683457	2815.5796230687	3251.95643756019	2177.37254022786	1983.79112253259
Actg2	7.88857423999715	10.7728338450372	6.06438212046803	0.719540905358631	0.23830293813598
Actl6a	26.31287705149	27.4185152444615	20.9085125133998	38.5591997695815	29.0766237548465
Actl7a	0.211704416845399	0.443483881712676	0.191100967979772	1.30040163628669	0.27742739161213
Actl7b	0.173526439468303	0.496027939057961	0.478560362127858	0.480172226418513	0.168887736950017
Actn1	368.971089862428	685.604370196392	684.453131797722	412.66451017799	255.120196093252
Actn4	449.846875596393	549.404814672999	489.995494161096	393.864789154654	292.121802223796
Actr10	74.8094720473567	97.596797667906	89.0320106233045	114.25249004885	100.588458098703
Actr1a	69.767313104526	80.8288240129741	62.4831462255901	98.1764676084609	93.0048454057977
Actr1b	36.6874976704681	58.4635577133051	46.4581754494208	53.7530059197934	39.503229853958
Actr2	125.080343036228	232.466082688144	129.044854120572	271.252406429039	216.306987665442
Actr3	208.396191607137	292.672527507116	162.184385448906	261.495368081619	150.365057788128
Actr3b	4.2271269139533	17.1735744275415	10.9155348442049	16.3480482569725	9.78172355680138
Actr5	3.14029771207277	2.2633472174319	1.872032896713	3.73903440191642	3.55036014087624
Actr6	15.489753838767	11.1291981619934	9.98195243761683	30.5065477365425	29.7332238487974
Actr8	17.1171980345056	15.515096450675	8.3463528057591	28.6404127512432	24.5253147664024
Actrt3	0.0985749631541935	0.105682835572453	0.120053782708549	1.05015913180669	0.109151251627574
Acvr1	16.973563722993	21.9338406593869	24.8125692709112	25.3952810254805	9.17819564152205
Acvr1b	3.2164546645751	3.16887038858061	2.2505341025169	4.20296843293537	2.21434644617363
Acvr2a	3.80556431033611	4.33935449708432	8.02059256405492	4.37474626418864	3.48063128976182
Acvr2b	0.729666307620315	1.25484942780099	1.15076423899523	1.17829877281983	0.844805900601946
Acvrl1	1.49905619961377	0.586643475153772	0.262292804939136	1.83664317301878	0.139169826984313
Acy1	26.5442959781384	26.4901912632869	14.8205747138449	55.9891790192878	39.6973626498892
Acy3	19.0753306567082	10.064063498381	4.36285696191011	27.114319149308	0.684306283910681
Acyp1	27.4221956692092	31.324697875228	10.095237682987	48.4096410496922	19.8739939090137
Acyp2	2.43408118146219	3.4538344752761	2.61810161233972	8.40900881117372	6.76830298400074
Ada	5.12345754891047	6.23760144299475	4.55753550741715	12.0335610086554	3.55275585265823
Adal	4.02624365457302	2.05935194294554	2.30001254649287	3.03666152989401	3.82283866162988
Adam10	13.6904543865634	10.5354730289943	15.511660495862	25.1365278556541	23.123671132268
Adam15	15.9381473462886	18.1167020128394	19.8591656790153	37.160790267906	33.4043008534664
Adam17	20.3858220822113	23.069734557439	18.8445662430967	30.0656622820351	25.7225818884609
Adam19	14.7264666052675	29.0059233288493	3.15239252114267	20.5662240956931	3.10714655685751
Adam1a	3.14537070232149	3.08491323361144	2.16762435394647	1.93553312587388	0.712043058694805
Adam23	0.473725894935228	0.751749604694306	0.567253742014766	2.02436028272882	3.75075060194403
Adam4	0.389754574142231	0.252496055602042	0.23029292731834	0.683005247926227	0.294850503226439
Adam4l1	0.773846090452814	0.215184129432026	0.106405019253375	0.580565804352314	0.334497984872228
Adam9	40.3130285862729	56.2340564738497	58.3279633310887	54.1434724332732	40.0073029981756
Adamts1	104.553642183938	344.224843557941	142.388496288648	155.083362358103	48.2880892966582
Adamts10	51.0897503543025	21.4003887763712	18.2228027743873	35.8900615761345	7.2775162941685
Adamts12	127.919561035191	106.136655896656	86.7481870491026	45.3527352605318	3.78491631719174
Adamts14	1.87064855014411	3.63073381838452	1.06215553303909	6.56026302016553	0.252291511313396
Adamts15	5.39207230006029	0.931737708714949	0.37155813952685	0.875230156742991	0.18401453163012
Adamts2	14.9090813393012	14.9250153016985	15.591577453071	17.6252712186982	7.66273735324104
Adamts3	1.44105674713539	2.48829821944095	1.39084202892937	0.748031950598581	0.838259623683776
Adamts4	0.128078226316774	0.859279180598724	0.102983211010196	1.59308628000954	0.110262402604134
Adamts5	9.12380744587184	5.01531519272934	2.18631725581162	7.82859311453526	4.86783813464092
Adamts7	0.591550879388234	1.20246844841402	0.582952532585556	6.00923826051169	0.592023229983394
Adamts9	15.6178654314473	10.0217117130071	11.45732671509	3.687867915356	1.57818127792462
Adamtsl3	1.96031355983041	2.32668419642441	0.830789776836823	6.07431834959815	0.1990792142747
Adamtsl4	26.3669359326383	19.6117482460097	13.8915561811748	17.2149022715972	4.42007379111839
Adamtsl5	19.8563399814082	24.529146779309	8.76966535559422	33.9089617285269	8.62519532121787
Adar	11.3328793901738	25.3044275352742	10.3965121599587	12.9368192276756	10.0640528301252
Adarb1	87.11918784827	59.1203722956731	40.0157571969011	18.0016266051149	12.6000199484786
Adat1	0.861415315261858	0.716525325674788	1.47911629320749	1.16697011775674	1.43261917390459
Adat2	5.94370720916034	4.6484709079981	0.929544110374083	7.92758282040451	0.956807958212718
Adat3	6.27830766475133	8.72069877496589	10.3855044380487	10.1298826626762	9.66624374979425
Adck1	2.63272292476282	1.56139973332631	2.58049918006415	5.22567546914854	3.60738877331852
Adck2	6.25001616884067	1.84363464070751	3.51468560378776	8.24794303530122	7.79321327810434
Adck3	3.47376067978732	1.63024831346435	2.06229846521981	3.88153993905296	3.62729341065935
Adck4	12.303061866602	17.564647811871	12.9173346774559	24.6392317485564	15.4163676923629
Adck5	8.33665214536152	11.5062749698563	11.2554814840246	16.4249837852234	17.0508069293712
Adcy3	9.62542994556274	6.11632319846118	3.91080813240167	23.7662575351272	5.31223297384387
Adcy4	10.0820298427752	9.16426846833014	3.59708985166251	19.5677648734768	2.11314705672115
Adcy5	1.9465252756873	2.14598718100453	0.539306779290758	0.952965315721615	0.195098357169609
Adcy6	31.4181462193659	32.6094015947719	18.2683159908225	47.1022345675173	15.5184704164712
Adcy7	1.18489022471067	0.702580895604018	0.23921267315358	4.85747580595854	2.24848852108817
Add1	121.843816401892	119.032010449147	100.032863725768	137.015797040025	101.836322178221
Add2	0.10887232205044	0.202150218054032	0.119001903482165	3.16679136514141	0.238421738709849
Add3	2.37059213677057	1.19347585589913	5.54857595402181	2.31249198727098	2.27902652015992
Adgre5	5.99637259331634	9.14184241846509	4.58812477788009	11.3385031820661	8.50374914774852
Adgrg1	0.232913068105793	1.15255701427785	0.995774579597417	0.891490386401618	0.117049080182209
Adgrl1	6.38820492455489	8.58088008696115	6.16088204524069	9.07587636115059	3.44052028143887
Adgrl2	36.2561880634883	43.4290127922462	23.3266415777875	55.7950018001649	19.6300459056302
Adh1	2.63417409771193	1.2145361956101	0.975062846982464	11.4756224965912	3.8074316118092
Adh5	53.3268354247966	49.8187622270442	47.2897967289964	77.88516524037	64.0980166798037
Adh6a	0.101328395919603	0.264024494042118	0.0940495202546447	0.466352797755514	0.0916534489619478
Adh7	6.80014859294575	4.52544024487495	1.5527717387133	10.3604402927567	1.64460421053742
Adhfe1	1.19108686367318	0.35346752296047	0.515486516330846	1.26079430960923	0.200599645744991
Adi1	9.93116074053905	7.85512195814695	7.97441256171716	14.9574601957876	8.70170183627925
Adipor1	102.197086398594	114.102144854331	91.5148284436853	141.195221045581	94.144510707591
Adipor2	35.0252149083734	48.6107478920992	49.4107979587871	52.7958909139586	56.7061893831883
Adk	26.9057506238693	33.6261649882719	30.0414523804982	27.7467117385485	20.4793567302838
Adm	7.2862858573089	2.61918713918454	4.18721358681792	10.3082343712304	2.53881790303401
Adm2	1.14200620540548	2.53177692134428	0.0840347602920366	4.52413965637256	0.324270303042555
Adnp	18.7971921685526	18.7412669488004	15.6068577606063	28.3483453499827	13.566148761389
Adnp2	9.32201280765139	9.45062295702019	7.44943209503453	11.2435994339832	8.07804417352559
Ado	6.97905988555994	11.7731825770411	5.29680343788154	8.27029422103419	6.66331234381303
Adora2b	0.450774127223168	1.81590578736272	0.557838899533474	0.776255190677855	0.21551932339058
Adpgk	21.5222855059527	19.2897039947049	21.1574117299689	28.9494749121638	38.7442368005354
Adprh	23.1204622315923	16.8442558635889	17.9937290421666	32.2687109328705	25.2399683407297
Adprhl1	3.27716503090456	2.60054413031605	0.719955430769822	0.218527001083708	0.17332097786651
Adprhl2	31.6152084317718	39.4213628171121	37.4836575338068	74.3264872091244	43.8949431160107
Adprm	14.2874006704313	19.4775669981962	17.3033310936923	25.2414874451268	21.2394671306459
Adra1d	6.56847107332514	5.74889595361952	0.894015322095459	14.5675111697796	0.21124764279253
Adra2a	0.0980926715265203	0.722088557832949	0.217382393058672	0.36720153718395	0.168403407992691
Adrb2	0.22520256908593	1.27436179463183	3.8142755066144	0.637597775430347	1.32705215834061
Adrbk1	23.7182799731335	33.2250291436776	23.9553338887037	34.8216733433827	26.5981699578568
Adrm1	77.7234889601399	121.797048844807	91.7474773194054	148.587336557938	162.435234206762
Adsl	25.0818365091755	23.1485573185009	13.993150621859	36.7231951077971	38.556359188978
Adss	74.2470261371471	187.493668508677	118.562538040761	161.646653713821	69.3543577911207
Aebp1	113.101634947634	117.487697277983	84.4623189801686	222.998897639377	23.4881061658801
Aebp2	14.7992751621447	28.4986691597447	16.8810963917712	21.0989864064727	11.6055417047607
Aen	28.7483386430014	59.1176323661171	34.5941513360281	50.8302779040112	22.1120691262925
Aes	355.586594545857	422.618685776567	324.978058311791	682.818255735853	296.886310900731
Afap1	39.6840419745106	50.8288350157573	52.5513538037738	44.0444658877953	31.9703300391515
Afap1l2	7.86530809710591	4.23177111007669	0.587909323304587	5.19652799064137	0.401119286489629
Aff1	6.1101456150316	13.7039414045728	11.4354654385729	10.295771418378	7.90232198828584
Aff3	5.93331073119662	7.16868209374311	5.43446131064959	3.15809519171881	1.28199901324569
Aff4	20.2238858507025	26.4290393543374	22.1879157177416	21.7724587369692	18.1741979397158
Afg3l1	29.4274703382792	23.7792923149437	16.5118720120864	34.249512394468	23.8813806454647
Afg3l2	21.8158627207384	44.1725447867093	38.0471455021772	40.4951008904896	33.0848407693361
Afmid	0.660705456010078	0.344162153541136	0.774695152897643	2.26229044352892	0.643526747038003
Aftph	12.5031785530652	22.8324644227499	8.02985277664728	28.9611823179752	21.1203842314571
Aga	75.9636599585746	71.183954431647	51.5267251624001	96.1040823451249	25.7064686400871
Agap1	8.28728796421266	6.99135205093267	6.32677586532615	14.3177185537536	10.7185791424684
Agap3	13.7190050953927	12.9460904352403	8.83765248902231	21.8175553684086	17.452344048149
Agbl5	2.11043503901351	1.15483768977218	0.463372250466298	3.12793497456092	0.741094473736247
Ager	2.0894973302766	3.97223607105569	1.65080624277535	2.11147482776914	0.576291997142345
Agfg1	39.4384174195839	46.5040764166099	32.1483688890263	43.7699663247361	39.0618651652964
Agfg2	13.2266531951201	6.07584177741135	11.9897870270276	15.4551908929579	8.69749612079992
Agk	9.9665290321655	8.56809921104666	3.61810337897806	14.8576565514415	11.315904321153
Agl	9.59311057834408	5.03210557555015	5.70501073792434	9.59498636551149	6.25821865467847
Ago1	6.5627734942133	3.3637761394235	3.14227630198424	8.41838465481907	4.89006674908767
Ago2	6.13435918653159	14.0823475594976	11.9290992401213	13.3945196926852	11.4991942137364
Ago3	1.68993619837441	3.07401377676523	1.95913636321316	3.21308845802818	2.26303251960737
Ago4	1.13264700245205	0.875618039645265	0.127794335736879	0.716954503689972	0.202545678599323
Agpat1	51.0365915163883	58.6074790428255	42.7169617608795	105.740818963733	74.725999889899
Agpat2	13.5071684083745	51.6173122687401	33.5988890074189	34.2536069555071	15.762375337111
Agpat3	5.91649259229135	8.34535124349442	3.75565770911789	8.53381800762668	5.46483297692702
Agpat4	18.422602423299	18.0722867252684	11.8670884441563	52.4053590153523	19.5685796321646
Agpat5	19.4191383487716	7.16184833694916	11.0617182215604	23.9438476211187	11.6022553771374
Agpat6	26.2156219136792	47.2539100118773	38.265770852329	38.1037532514837	44.7270281392492
Agpat9	2.31202784789525	23.7778788919171	19.2454537847411	4.71464069122594	2.59574516662828
Agps	13.3443809909562	18.2888062597836	19.5423664483947	23.0247607464952	20.5941627151427
Agrn	22.1781982955919	18.4967078198451	22.5127886085441	36.2928306901399	14.1259825368706
Agrp	0.10559402922122	0.336975596437824	0.764624150460971	1.51944749807521	0.432759804350547
Agt	0.796658036453329	0.346661778627636	0.731945104635347	0.680060688606412	0.131938925805507
Agtpbp1	9.27302257825168	11.5214965055944	6.9019102048842	11.2724682167552	9.08917581674019
Agtr1a	34.4353379064018	30.1829518940571	8.79154483360071	12.6563285668411	5.98765585264204
Agtrap	9.34353044693046	4.84351370765405	2.92174493858965	18.7220172568781	6.05539478271545
Ahctf1	11.8931893991532	16.2538990677207	17.9988176958046	12.6325066629605	16.6715306334025
Ahcy	37.52648101274	38.5202993309609	55.0299768381532	60.0685898836364	82.5468146324451
Ahcyl1	58.5011818876289	76.5878030861621	69.9341797388542	92.514199252141	79.3446095601741
Ahcyl2	1.76435084787809	2.32336549025751	4.615638992647	3.65817082111199	5.33750002848818
Ahdc1	4.73565225944179	11.8716670385475	9.18458591647043	9.33675092791553	4.47971210208028
Ahi1	3.51426106039262	4.32042093401405	6.26250646687867	6.75595151896022	9.79147170786594
Ahnak	45.9902162238121	71.1577963833261	90.0678962233534	40.2627280616335	46.6747205963335
Ahr	12.1619146075491	34.4424888957187	12.7127537091278	30.7252010196819	15.4029771677011
Ahrr	0.654289449097829	1.63691110555705	0.223832571359864	0.814362031235393	0.145595928517734
Ahsa1	82.6587898622268	86.6361662705518	60.6452401311199	131.789886016851	140.35083698395
Ahsa2	12.3173634542279	15.1493876487258	11.2425558080181	14.6735404628273	12.6521517665212
Aida	47.8606928140072	66.1737523337964	46.6345281219003	70.1067989937506	38.0725896072451
Aif1l	9.11970911982788	12.6132197995886	6.85981015601576	1.24644177613256	0.483090867046273
Aifm1	36.9336107426385	26.7430760063574	17.5179067459843	47.8352050404429	34.365734919939
Aifm2	7.03353071126908	4.45539851881468	1.9650692475345	10.2740863417496	2.14886780047799
Aifm3	0.537558487673343	0.488903066371859	1.07772712174119	0.739103711882225	0.774447479440084
Aig1	16.3767667352821	25.1115773864589	12.5578720500454	67.3309376873512	38.0962926310888
Aimp1	69.7500409480426	70.2341189391769	57.728427835939	78.0179938562282	85.9151012274201
Aimp2	42.9459486238805	61.3837864417167	64.2635965281155	55.2488354940742	85.2803761735822
Aip	29.5883796946743	25.2967985411695	19.8331921534862	43.6748061827662	28.5390079670454
Ajuba	49.6615559988127	39.9821499267835	26.1361500347551	33.1917784520431	11.7791674228942
Ak1	6.04423231840025	2.24622325475852	0.756692952371098	26.919559399693	5.46466434134839
Ak2	42.9714120181491	61.4542199009549	42.3418790642409	52.2240214191365	33.7363015251247
Ak3	128.823429771912	129.263973682077	65.6856390843696	123.524649173352	54.5657047265437
Ak4	2.88473440710256	8.32086604050198	11.5063671698924	7.44282508895682	5.08349149758218
Ak6	24.3750190798451	36.3163987099491	42.3449238286868	31.7099657492324	29.6829141362993
Ak8	0.103995103624972	0.37234578426057	0.476047437944873	0.108468740094738	0.131024640838791
Akap1	29.8021179823613	19.3781657671275	25.9256251125169	32.9783805530174	41.8061238576507
Akap10	6.71515643696778	5.82289132392433	4.95562433772823	12.4930753956081	11.2235583768512
Akap11	10.740659722103	6.62188417960144	6.86910420145433	14.5176912151546	12.3152688096427
