RASMC_RNA_PDGF_2H	RASMC_RNA_PDGF_JQ1_24H	LOG2_FOLD_CHANGE	P_VALUE
A3galt2	79.9216493533161	44.2485222809554	-0.852957080613229	0.0756150739260558
AA926063	0.815474722803193	0.996967520692918	0.289906346584965	0.815033754001677
Aaas	12.0823921160831	10.9452824918612	-0.142596922787398	0.561514257980056
Aacs	33.7294484871697	24.0251017128115	-0.489466190116158	0.0610075250143516
Aaed1	49.0306580653912	20.9939065527298	-1.2237134761401	0.00619785252587275
Aagab	18.361500767929	40.7432453699487	1.14987692005999	0.0152835975432762
Aak1	2.6972437727439	3.53251856391414	0.389211226132656	0.148159157497997
Aamdc	0.722948442875377	3.52100150176574	2.28402117248653	0.0568629942351491
Aamp	67.7700555249374	75.2324918126373	0.150707921901454	0.283851923273282
Aar2	7.39924144188298	9.77556059436917	0.401802062741435	0.194275830189195
Aard	0.186821761332838	0.162723123273497	-0.199243237173991	0.788603155231804
Aars	133.510614894062	156.346364566229	0.227791224104245	0.180409610207013
Aars2	3.75993233780567	7.26546670241162	0.950348773384317	0.0493656551391535
Aarsd1	8.19031889501193	15.9082926647744	0.957787478477704	0.0310120486193005
Aasdhppt	24.6738904469039	60.5852085194367	1.29598040217219	0.000678173474105742
Aass	2.85615218054149	0.327044624636202	-3.12651344326131	0.00648373652040533
Aatf	13.6312095944423	24.3956144222242	0.839708230656973	0.0237790945540296
Abca1	2.11407506363504	6.77553193295923	1.68030761107056	0.0168361959916359
Abca2	5.35025008486039	7.60506514325557	0.507354277322347	0.167942971371597
Abca5	1.19448372640974	2.93424908709059	1.29660414722699	0.0798012326642171
Abca7	3.35571921878936	14.3761098948438	2.09897943022295	0.0105099480686924
Abca8a	3.18755543842612	0.274245614315866	-3.5389099791323	0.105151004920036
Abcb10	4.01829508663322	5.87140072592288	0.547121211279582	0.295394903363563
Abcb1a	1.1064456288843	0.76431053894116	-0.533701729686884	0.454911133941355
Abcb1b	47.240237738284	12.1346660991408	-1.96088181373493	0.0208391728811785
Abcb6	6.28588553204941	5.20280658549459	-0.272825924369854	0.236845927101119
Abcb7	4.36148202285266	5.81213592822977	0.414250000432183	0.514396522159879
Abcb8	10.0052937791369	15.2941485233861	0.612216260642602	0.0905009029450692
Abcc1	6.29615463563668	9.32418095450248	0.566506028793033	0.0860842614100576
Abcc10	0.599735436303095	2.16597151930234	1.85261614852852	0.00631605595384808
Abcc3	2.68894082706694	3.53401584124084	0.394270499231871	0.334496271941685
Abcc4	2.7348858376959	8.76243308802073	1.67985091053576	0.00841318275901605
Abcc5	7.510309226901	9.10730330162814	0.278151621167395	0.415482033969758
Abcc9	1.28528192868189	0.155491541399211	-3.04717684535295	0.0167688526861824
Abcd1	3.67000822226796	2.98382558522224	-0.298620087664568	0.427523945011086
Abcd3	9.99981826284118	31.6230315999105	1.66100190029976	0.00658540451133903
Abcd4	9.427868906353	9.56216427632891	0.0204054929637062	0.880814799520365
Abce1	81.8619167320663	51.2366261689664	-0.676016966563376	0.0663556038234338
Abcf1	57.9795602061281	69.6480786598664	0.264539164476744	0.0785938623080148
Abcf2	49.2791091414332	63.7355899703052	0.371123023285916	0.110842846222709
Abcf3	24.2997744089352	39.4633349513714	0.699569959505954	0.0262467282095288
Abcg1	1.35433907238608	0.640912198375657	-1.07939034351814	0.194552692538218
Abcg3	2.48354261561127	2.17580843218752	-0.19084796156663	0.695834410696652
Abcg3l1	13.7264878513662	6.36506475102425	-1.10871543967316	0.31972537901172
Abcg3l2	2.56199869095817	3.05555395901473	0.254164219726694	0.708122180518919
Abcg3l3	7.85070061610087	10.18590328953	0.375680610121382	0.330911549309
Abcg3l4	1.02651381818196	0.960885299847154	-0.0953169151164921	0.94748744436907
Abhd1	5.55089597041058	7.606080442043	0.454432541277163	0.00324020195314426
Abhd11	6.70115504010208	10.4794580706905	0.645082420733216	0.181842223039933
Abhd12	19.6990553223059	45.8621411628085	1.21917726529646	0.00171679095234355
Abhd13	5.98952844029129	5.53484611430882	-0.113899216889493	0.657505257011854
Abhd14a	3.65666693314493	3.44739284217898	-0.085023516947054	0.871309280517617
Abhd14b	18.3762658510236	23.4965514088713	0.354605394263498	0.325254158133426
Abhd16a	44.9728095445812	30.0101769655383	-0.583601188651488	0.0596324759842827
Abhd17a	54.3343774124379	269.463685015527	2.31015367091811	0.000991556950007617
Abhd17b	10.9985359283369	18.7045239657127	0.766075757470141	0.0785175297624716
