GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
Cxxc1	632.0	370.7639	5_RASMC_H3K27AC_PDGF_2H_NEW_13346_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_13346_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_13346_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_13346_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_12220_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_12220_lociStitched_3
Cyb561	87.5368	2252.5654	3_RASMC_H3K27AC_UNSTIM_NEW_5398_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_5398_lociStitched,5_RASMC_H3K27AC_UNSTIM_REP1_2391_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_5006_lociStitched_1,2_RASMC_H3K27AC_UNSTIM_NEW_5400_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_3584_lociStitched
Cyb561d1	677.6	1052.9252	2_RASMC_H3K27AC_PDGF_2H_REP2_14599_lociStitched_1,2_RASMC_H3K27AC_PDGF_2H_REP2_14599_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_16608_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_16608_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_16608_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_16609_lociStitched
Cyb561d2	500.9181	4451.4053	10_RASMC_H3K27AC_PDGF_24H_NEW_29300_lociStitched_1,10_RASMC_H3K27AC_PDGF_24H_NEW_29300_lociStitched_1,10_RASMC_H3K27AC_PDGF_24H_NEW_29300_lociStitched_3,10_RASMC_H3K27AC_PDGF_24H_NEW_29300_lociStitched_7,4_RASMC_H3K27AC_PDGF_2H_NEW_28655_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_28655_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_NEW_28648_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_17687_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_17687_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_NEW_30661_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_30661_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_30661_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_NEW_30661_lociStitched_4,4_RASMC_H3K27AC_UNSTIM_NEW_30661_lociStitched_5,7_RASMC_H3K27AC_PDGF_24H_NEW_29297_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_NEW_29297_lociStitched_3,7_RASMC_H3K27AC_PDGF_24H_NEW_29297_lociStitched_5,4_RASMC_H3K27AC_UNSTIM_NEW_30663_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_NEW_28653_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_NEW_28653_lociStitched_3
Cyb5a	514.2	124.436	4_RASMC_H3K27AC_UNSTIM_NEW_14403_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_14403_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_14403_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_14403_lociStitched_3
Cyb5b	761.2	1236.8538	4_RASMC_H3K27AC_UNSTIM_NEW_14866_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_14866_lociStitched,6_RASMC_H3K27AC_UNSTIM_NEW_14867_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_NEW_14867_lociStitched_2,6_RASMC_H3K27AC_UNSTIM_NEW_14867_lociStitched_3,1_RASMC_H3K27AC_PDGF_2H_NEW_13889_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_14251_lociStitched
Cyb5d1	834.7908	8965.479	7_RASMC_H3K27AC_UNSTIM_REP1_2029_lociStitched,7_RASMC_H3K27AC_UNSTIM_REP1_2029_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_2933_lociStitched_2,2_RASMC_H3K27AC_UNSTIM_NEW_4527_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_4066_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_4394_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_4394_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_NEW_4394_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_NEW_4394_lociStitched_4,6_RASMC_H3K27AC_PDGF_24H_NEW_4394_lociStitched_5,1_RASMC_H3K27AC_PDGF_2H_REP2_4067_lociStitched,6_RASMC_H3K27AC_PDGF_2H_REP2_4069_lociStitched,6_RASMC_H3K27AC_UNSTIM_REP1_2032_lociStitched
Cyb5d2	910.0	451.8886	6_RASMC_H3K27AC_PDGF_24H_REP2_2989_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_2989_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_2989_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_2989_lociStitched_3
Cyb5r1	462.8	2810.5422	3_RASMC_H3K27AC_PDGF_24H_NEW_7796_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_7796_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_7792_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_7792_lociStitched_3,2_RASMC_H3K27AC_UNSTIM_NEW_7993_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_7535_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_7997_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_7995_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_7995_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_7995_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_7795_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_7795_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_7994_lociStitched
Cyb5r3	742.0	4829.713	5_RASMC_H3K27AC_PDGF_24H_REP2_16475_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_16475_lociStitched,7_RASMC_H3K27AC_PDGF_24H_REP2_16469_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_REP2_16469_lociStitched_3,6_RASMC_H3K27AC_UNSTIM_REP1_12513_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_26910_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_23979_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_26911_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_26911_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_26911_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_NEW_28772_lociStitched
Cyb5r4	496.7758	56.079	4_RASMC_H3K27AC_PDGF_24H_NEW_29018_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_29018_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_29018_lociStitched_2
Cyba	568.0	1499.5445	6_RASMC_H3K27AC_PDGF_24H_REP2_8918_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_8918_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_8918_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_8918_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_REP2_13022_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_13022_lociStitched_3,7_RASMC_H3K27AC_PDGF_24H_NEW_14506_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_NEW_14506_lociStitched_5
Cybrd1	393.4	64.6898	4_RASMC_H3K27AC_PDGF_24H_NEW_18652_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_18652_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_18652_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_18652_lociStitched_3
Cyc1	579.4	5214.3546	3_RASMC_H3K27AC_PDGF_2H_NEW_26688_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_26688_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_27271_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_27271_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_NEW_27268_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_27268_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_NEW_27268_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_NEW_28557_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_28557_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_NEW_26692_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_NEW_26692_lociStitched_5,4_RASMC_H3K27AC_PDGF_2H_NEW_26693_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_26690_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_26690_lociStitched_3,9_RASMC_H3K27AC_PDGF_24H_REP2_16287_lociStitched_1,9_RASMC_H3K27AC_PDGF_24H_REP2_16287_lociStitched_3
Cycs	611.0	1739.4323	2_RASMC_H3K27AC_UNSTIM_REP1_9493_lociStitched,2_RASMC_H3K27AC_UNSTIM_REP1_9493_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_21853_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_21854_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_21855_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_12493_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_12493_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_12493_lociStitched_3
Cyfip1	648.2	1025.5976	6_RASMC_H3K27AC_UNSTIM_REP1_503_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_503_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_503_lociStitched_2,6_RASMC_H3K27AC_UNSTIM_REP1_503_lociStitched_3,3_RASMC_H3K27AC_PDGF_24H_NEW_1306_lociStitched
Cyhr1	731.8206	4022.1788	4_RASMC_H3K27AC_PDGF_24H_NEW_27281_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_27281_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_27281_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_23738_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_28573_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_23744_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_23744_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_23744_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_23744_lociStitched_4,4_RASMC_H3K27AC_PDGF_2H_REP2_23744_lociStitched_5,7_RASMC_H3K27AC_PDGF_2H_REP2_23745_lociStitched_1,7_RASMC_H3K27AC_PDGF_2H_REP2_23745_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_27286_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_23741_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_23741_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_27285_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_27285_lociStitched_3
Cyld	566.2	725.9169	2_RASMC_H3K27AC_UNSTIM_NEW_14566_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_14566_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_13974_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_13974_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_13974_lociStitched_3
Cyp1b1	1002.8	10050.6656	7_RASMC_H3K27AC_PDGF_2H_REP2_21304_lociStitched,7_RASMC_H3K27AC_PDGF_2H_REP2_21304_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_24340_lociStitched,7_RASMC_H3K27AC_PDGF_2H_NEW_23799_lociStitched,6_RASMC_H3K27AC_PDGF_2H_REP2_21301_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_21301_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_REP2_21301_lociStitched_3,3_RASMC_H3K27AC_PDGF_2H_NEW_23798_lociStitched,10_RASMC_H3K27AC_PDGF_24H_REP2_14544_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_14539_lociStitched
Cyp20a1	913.6	297.8762	5_RASMC_H3K27AC_PDGF_24H_NEW_30268_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_30268_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_30268_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_30268_lociStitched_3
Cyp26a1	238.8812	988.89	1_RASMC_H3K27AC_PDGF_2H_REP2_2891_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_2891_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_3282_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_2892_lociStitched_1
Cyp26b1	360.7794	804.2128	1_RASMC_H3K27AC_PDGF_2H_REP2_18490_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_18490_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_18489_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_21199_lociStitched
Cyp27a1	414.2	1984.8566	6_RASMC_H3K27AC_UNSTIM_NEW_31851_lociStitched,6_RASMC_H3K27AC_UNSTIM_NEW_31851_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_30416_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_29692_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_31852_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_31852_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_31852_lociStitched_3
Cyp27b1	36.039	1861.7778	4_RASMC_H3K27AC_PDGF_2H_NEW_26133_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_26133_lociStitched,3_RASMC_H3K27AC_PDGF_2H_REP2_23336_lociStitched_1,3_RASMC_H3K27AC_PDGF_2H_REP2_23336_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_15998_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_NEW_26137_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_NEW_26137_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_26703_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_26703_lociStitched_3
Cyp2j3	56.0352	0.0	1_RASMC_H3K27AC_PDGF_2H_REP2_20072_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_20072_lociStitched_1
Cyp2s1	162.0563	8491.3714	7_RASMC_H3K27AC_PDGF_24H_REP2_508_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_REP2_508_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_REP2_508_lociStitched_3,2_RASMC_H3K27AC_PDGF_2H_NEW_851_lociStitched,9_RASMC_H3K27AC_PDGF_2H_REP2_758_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_892_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_892_lociStitched_2,1_RASMC_H3K27AC_PDGF_2H_REP2_762_lociStitched_1,1_RASMC_H3K27AC_UNSTIM_NEW_945_lociStitched,2_RASMC_H3K27AC_PDGF_2H_REP2_763_lociStitched
Cyp2u1	544.4	550.6596	4_RASMC_H3K27AC_PDGF_24H_NEW_16889_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_16889_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_16889_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_NEW_17716_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_17716_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_17716_lociStitched_3
Cyp39a1	411.2817	400.4484	4_RASMC_H3K27AC_UNSTIM_NEW_31170_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_31170_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_31170_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_31170_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_NEW_31170_lociStitched_4,2_RASMC_H3K27AC_UNSTIM_NEW_31169_lociStitched
Cyp4f1	151.2252	445.9082	3_RASMC_H3K27AC_UNSTIM_NEW_27424_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_27424_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_27426_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_11854_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_11854_lociStitched_3,1_RASMC_H3K27AC_PDGF_24H_NEW_26196_lociStitched_1
Cyp4f17	655.6	698.0167	3_RASMC_H3K27AC_UNSTIM_NEW_27416_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_27416_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_25584_lociStitched,6_RASMC_H3K27AC_UNSTIM_NEW_27415_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_NEW_27415_lociStitched_2,6_RASMC_H3K27AC_UNSTIM_NEW_27415_lociStitched_3,2_RASMC_H3K27AC_PDGF_2H_NEW_25583_lociStitched
Cyp4f5	110.3778	253.1431	3_RASMC_H3K27AC_UNSTIM_NEW_27416_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_27416_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_25584_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_25585_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_25585_lociStitched_2
Cyp4f6	369.6	589.9606	3_RASMC_H3K27AC_PDGF_2H_REP2_22911_lociStitched,3_RASMC_H3K27AC_PDGF_2H_REP2_22911_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_27426_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_27426_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_26198_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_26198_lociStitched_3
Cyp4v3	601.4	1822.1789	5_RASMC_H3K27AC_PDGF_2H_NEW_10999_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_10999_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_7094_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_7094_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_7094_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_NEW_10998_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_11692_lociStitched
Cyp51	969.6	740.2437	6_RASMC_H3K27AC_PDGF_24H_NEW_20413_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_20413_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_20413_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_NEW_20413_lociStitched_3
Cyr61	1978.4	13066.9763	8_RASMC_H3K27AC_PDGF_24H_NEW_17038_lociStitched_1,8_RASMC_H3K27AC_PDGF_24H_NEW_17038_lociStitched_1,8_RASMC_H3K27AC_PDGF_24H_NEW_17038_lociStitched_2,8_RASMC_H3K27AC_PDGF_24H_NEW_17038_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_NEW_16611_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_17039_lociStitched,5_RASMC_H3K27AC_UNSTIM_REP1_7804_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_17877_lociStitched,6_RASMC_H3K27AC_PDGF_2H_NEW_16616_lociStitched
Cys1	524.6	1627.6192	6_RASMC_H3K27AC_PDGF_2H_REP2_21768_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_21768_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_21768_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_REP2_21768_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_NEW_24333_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_24333_lociStitched_3,3_RASMC_H3K27AC_PDGF_24H_NEW_24913_lociStitched_1,3_RASMC_H3K27AC_PDGF_24H_NEW_24913_lociStitched_3
Cyth1	617.0	3186.4412	1_RASMC_H3K27AC_PDGF_24H_NEW_5549_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_5549_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_5331_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_3763_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_3763_lociStitched_3,6_RASMC_H3K27AC_UNSTIM_NEW_5662_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_5553_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_5275_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_5275_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_5275_lociStitched_3
Cyth2	690.8	2471.2625	5_RASMC_H3K27AC_PDGF_24H_REP2_734_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_734_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_1153_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_1211_lociStitched,6_RASMC_H3K27AC_PDGF_2H_REP2_1083_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_1083_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_REP2_1083_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_1084_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_1084_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_1268_lociStitched
Cyth3	170.9015	8267.6111	1_RASMC_H3K27AC_PDGF_2H_NEW_6663_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_6663_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_4505_lociStitched,7_RASMC_H3K27AC_PDGF_24H_REP2_4503_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_6427_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_6666_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_7085_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_6662_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_NEW_6662_lociStitched_2,9_RASMC_H3K27AC_UNSTIM_NEW_7086_lociStitched
D2hgdh	831.2	686.8819	6_RASMC_H3K27AC_PDGF_2H_REP2_26779_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_26779_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_26779_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_26779_lociStitched_5,6_RASMC_H3K27AC_PDGF_24H_NEW_30774_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_30774_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_NEW_30774_lociStitched_3,2_RASMC_H3K27AC_PDGF_2H_NEW_30037_lociStitched
Daam1	383.0085	5766.9814	4_RASMC_H3K27AC_PDGF_2H_NEW_24695_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_24695_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_24696_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_26485_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_24698_lociStitched,3_RASMC_H3K27AC_UNSTIM_REP1_11501_lociStitched,6_RASMC_H3K27AC_PDGF_2H_REP2_22059_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_22059_lociStitched_2
Dab2ip	641.0	4650.114	5_RASMC_H3K27AC_PDGF_2H_NEW_17892_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_17892_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_17892_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_17892_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_NEW_17891_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_17890_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_16198_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_16199_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_18329_lociStitched
Dact3	489.2	3675.5928	1_RASMC_H3K27AC_PDGF_24H_NEW_765_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_765_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_826_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_826_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_826_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_REP2_620_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_729_lociStitched,7_RASMC_H3K27AC_PDGF_24H_NEW_764_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_NEW_764_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_REP2_622_lociStitched,7_RASMC_H3K27AC_PDGF_24H_REP2_423_lociStitched_1
Dad1	634.6	4259.4625	10_RASMC_H3K27AC_UNSTIM_REP1_4478_lociStitched,10_RASMC_H3K27AC_UNSTIM_REP1_4478_lociStitched,2_RASMC_H3K27AC_PDGF_2H_NEW_9768_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_10051_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_10051_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_10051_lociStitched_3,7_RASMC_H3K27AC_PDGF_24H_REP2_6441_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_REP2_6441_lociStitched_3
Dagla	861.8	4772.2275	4_RASMC_H3K27AC_PDGF_2H_NEW_2715_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_2715_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_2716_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_2933_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_2718_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_2718_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_NEW_2718_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_2935_lociStitched
Daglb	584.0	828.0968	5_RASMC_H3K27AC_PDGF_2H_NEW_6675_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_6675_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_6674_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_6674_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_NEW_6674_lociStitched_3
