GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
Aars	854.4	3222.2619	4_RASMC_H3K27AC_UNSTIM_NEW_14927_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_14927_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_14928_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_14310_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_14310_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_NEW_14309_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_14309_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_NEW_14309_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_REP2_8776_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_8776_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_12777_lociStitched
Aars2	505.8	570.6491	5_RASMC_H3K27AC_PDGF_2H_REP2_26055_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_26055_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_26055_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_26055_lociStitched_3,2_RASMC_H3K27AC_UNSTIM_NEW_31152_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_26054_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_26054_lociStitched_3
Aarsd1	629.4	4201.6363	5_RASMC_H3K27AC_PDGF_2H_NEW_4948_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_4948_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_4948_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_4948_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_REP2_3501_lociStitched,10_RASMC_H3K27AC_PDGF_24H_REP2_3503_lociStitched_1,10_RASMC_H3K27AC_PDGF_24H_REP2_3503_lociStitched_3,10_RASMC_H3K27AC_PDGF_24H_REP2_3503_lociStitched_5,5_RASMC_H3K27AC_PDGF_2H_NEW_4946_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_4952_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_3499_lociStitched,6_RASMC_H3K27AC_PDGF_2H_NEW_4947_lociStitched,7_RASMC_H3K27AC_PDGF_24H_REP2_3504_lociStitched_1,7_RASMC_H3K27AC_PDGF_24H_REP2_3504_lociStitched_4
Aasdhppt	578.2	156.9754	7_RASMC_H3K27AC_PDGF_2H_REP2_24337_lociStitched_1,7_RASMC_H3K27AC_PDGF_2H_REP2_24337_lociStitched_1,7_RASMC_H3K27AC_PDGF_2H_REP2_24337_lociStitched_2,7_RASMC_H3K27AC_PDGF_2H_REP2_24337_lociStitched_3
Aass	374.4	3153.6435	5_RASMC_H3K27AC_UNSTIM_NEW_21549_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_21549_lociStitched,2_RASMC_H3K27AC_PDGF_2H_NEW_20080_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_20076_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_20562_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_20077_lociStitched,8_RASMC_H3K27AC_PDGF_2H_REP2_18015_lociStitched_1,8_RASMC_H3K27AC_PDGF_2H_REP2_18015_lociStitched_2,8_RASMC_H3K27AC_PDGF_2H_REP2_18015_lociStitched_3
Aatf	608.2	112.9297	4_RASMC_H3K27AC_PDGF_2H_NEW_4568_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_4568_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_4568_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_NEW_4568_lociStitched_3
Abca2	510.0	3959.5768	6_RASMC_H3K27AC_PDGF_24H_REP2_10851_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_10851_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_10851_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_18015_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_18015_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_18015_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_10849_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_18905_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_15850_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_15850_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_18013_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_18013_lociStitched_3,9_RASMC_H3K27AC_PDGF_24H_NEW_18011_lociStitched
Abca5	422.6712	20.4884	4_RASMC_H3K27AC_PDGF_2H_NEW_5132_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_5132_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_5132_lociStitched_2
Abca7	325.1748	5335.9167	9_RASMC_H3K27AC_PDGF_2H_REP2_22863_lociStitched_1,9_RASMC_H3K27AC_PDGF_2H_REP2_22863_lociStitched_1,9_RASMC_H3K27AC_PDGF_2H_REP2_22863_lociStitched_3,3_RASMC_H3K27AC_PDGF_24H_NEW_26149_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_15678_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_15678_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_22861_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_26154_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_15675_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_15675_lociStitched_2
Abca8a	234.4524	0.0	1_RASMC_H3K27AC_UNSTIM_REP1_2419_lociStitched_1,1_RASMC_H3K27AC_UNSTIM_REP1_2419_lociStitched_1
Abcb10	652.8	2401.4292	5_RASMC_H3K27AC_PDGF_2H_REP2_13063_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_13063_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_13063_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_13063_lociStitched_3,7_RASMC_H3K27AC_PDGF_2H_REP2_13064_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_14550_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_15179_lociStitched
Abcb1b	588.2	939.7903	5_RASMC_H3K27AC_PDGF_2H_REP2_17871_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_17871_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_17871_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_17871_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_20370_lociStitched,1_RASMC_H3K27AC_UNSTIM_REP1_9266_lociStitched
Abcb6	418.1075	2230.4458	6_RASMC_H3K27AC_PDGF_24H_REP2_18343_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_18343_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_18343_lociStitched_5,4_RASMC_H3K27AC_PDGF_2H_REP2_26513_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_26513_lociStitched_5,4_RASMC_H3K27AC_PDGF_2H_NEW_29699_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_29699_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_31861_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_NEW_29703_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_29698_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_29698_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_26509_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_26509_lociStitched_5
Abcb7	196.6	26.0106	4_RASMC_H3K27AC_PDGF_2H_REP2_27210_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_27210_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_27210_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_27210_lociStitched_3
Abcb8	868.6	2709.7144	6_RASMC_H3K27AC_UNSTIM_NEW_21200_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_NEW_21200_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_NEW_21200_lociStitched_5,5_RASMC_H3K27AC_PDGF_2H_REP2_17791_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_21202_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_21202_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_21202_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_12204_lociStitched
Abcc1	449.0	1717.6701	3_RASMC_H3K27AC_PDGF_2H_NEW_3381_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_3381_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_2356_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_2356_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_2356_lociStitched_3,1_RASMC_H3K27AC_PDGF_24H_NEW_3538_lociStitched,2_RASMC_H3K27AC_PDGF_2H_NEW_3383_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_3634_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_3540_lociStitched
Abcc10	600.6	4581.2647	4_RASMC_H3K27AC_PDGF_2H_REP2_26024_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_26024_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_26024_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_26024_lociStitched_3,3_RASMC_H3K27AC_UNSTIM_NEW_31126_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_31126_lociStitched_3,1_RASMC_H3K27AC_PDGF_2H_NEW_29090_lociStitched,14_RASMC_H3K27AC_PDGF_24H_REP2_17977_lociStitched_1,14_RASMC_H3K27AC_PDGF_24H_REP2_17977_lociStitched_3
Abcc3	605.0	1818.4538	5_RASMC_H3K27AC_PDGF_24H_NEW_4938_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_4938_lociStitched,6_RASMC_H3K27AC_UNSTIM_REP1_2277_lociStitched,6_RASMC_H3K27AC_UNSTIM_REP1_2278_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_5076_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_5076_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_5076_lociStitched_3
Abcc4	475.6	1237.8691	3_RASMC_H3K27AC_PDGF_24H_NEW_10695_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_10695_lociStitched,5_RASMC_H3K27AC_PDGF_2H_REP2_9803_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_9803_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_9803_lociStitched_3,1_RASMC_H3K27AC_PDGF_24H_NEW_10697_lociStitched
Abcc5	556.6	83.0694	5_RASMC_H3K27AC_UNSTIM_NEW_6749_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_6749_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_6749_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_6749_lociStitched_3
Abcc9	188.426	1765.5344	1_RASMC_H3K27AC_UNSTIM_NEW_23106_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_23106_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_23108_lociStitched,2_RASMC_H3K27AC_PDGF_2H_NEW_21548_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_19281_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_23105_lociStitched
Abcd1	324.8	1131.7379	7_RASMC_H3K27AC_PDGF_2H_REP2_27410_lociStitched_1,7_RASMC_H3K27AC_PDGF_2H_REP2_27410_lociStitched_1,7_RASMC_H3K27AC_PDGF_2H_REP2_27410_lociStitched_2,7_RASMC_H3K27AC_PDGF_2H_REP2_27410_lociStitched_3,7_RASMC_H3K27AC_PDGF_2H_REP2_27410_lociStitched_4,7_RASMC_H3K27AC_PDGF_2H_REP2_27410_lociStitched_5,1_RASMC_H3K27AC_UNSTIM_NEW_33275_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_31699_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_31700_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_30927_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_30927_lociStitched_3
Abcd3	604.6	250.4024	5_RASMC_H3K27AC_PDGF_2H_REP2_14678_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_14678_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_14678_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_14678_lociStitched_3
Abcd4	611.0	1278.7763	2_RASMC_H3K27AC_UNSTIM_NEW_26749_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_26749_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_22260_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_25539_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_25539_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_25539_lociStitched_3
Abce1	722.4996	205.7275	5_RASMC_H3K27AC_PDGF_24H_REP2_8657_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_8657_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_8657_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_8657_lociStitched_4,5_RASMC_H3K27AC_PDGF_24H_REP2_8657_lociStitched_5
Abcf1	649.4	4209.5242	9_RASMC_H3K27AC_PDGF_24H_REP2_10355_lociStitched_1,9_RASMC_H3K27AC_PDGF_24H_REP2_10355_lociStitched_1,9_RASMC_H3K27AC_PDGF_24H_REP2_10355_lociStitched_5,5_RASMC_H3K27AC_PDGF_2H_NEW_16792_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_16793_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_16793_lociStitched_5,4_RASMC_H3K27AC_PDGF_2H_NEW_16794_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_16794_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_NEW_16794_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_NEW_16790_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_15050_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_15050_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_REP2_10352_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_REP2_10352_lociStitched_3
Abcf2	732.6	3955.2789	4_RASMC_H3K27AC_PDGF_2H_NEW_19761_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_19761_lociStitched,8_RASMC_H3K27AC_UNSTIM_REP1_9200_lociStitched,3_RASMC_H3K27AC_PDGF_2H_REP2_17783_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_19763_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_19763_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_NEW_21196_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_21196_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_21196_lociStitched_3
Abcf3	595.2	1697.2346	5_RASMC_H3K27AC_PDGF_24H_NEW_6547_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_6547_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_6547_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_6547_lociStitched_3,7_RASMC_H3K27AC_PDGF_2H_REP2_6104_lociStitched_1,7_RASMC_H3K27AC_PDGF_2H_REP2_6104_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_REP2_6106_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_6106_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_NEW_6741_lociStitched_1
Abcg3l1	482.7046	210.7887	5_RASMC_H3K27AC_UNSTIM_REP1_3838_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_3838_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_3838_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_REP1_3838_lociStitched_3
Abcg3l2	482.7046	210.7887	5_RASMC_H3K27AC_UNSTIM_REP1_3838_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_3838_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_3838_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_REP1_3838_lociStitched_3
