BRD4_UNSTIM	BRD4_2H	BRD4_24H
Dcaf13	1416.2786	1426.0586	1790.2194
Dcun1d4	1020.0684	1039.0611	1417.736
Ddi2	2183.3451	2695.2256	3359.05275
Ddit3	4536.3845	4738.5654	6379.6461
Ddrgk1	3080.12375	2961.9574	4403.18815
Ddx1	8616.25025	9178.08245	8439.86605
Ddx39a	4606.5082	5008.15205	6436.64925
Ddx54	6728.19015	6560.3891	11250.70915
Derl1	3754.5756	3489.81575	4888.21925
Desi1	2011.3678	2348.97065	2217.32695
Desi2	1876.87735	1918.0146	2170.69485
Dgat1	2287.35085	2386.74075	2992.30435
Dgka	4724.69905	5047.6547	6188.61035
Dgkz	3897.7019	3912.88975	6345.3827
Dhcr24	2551.37215	2618.70995	3097.005
Dhps	4179.9012	4456.6284	5201.7608
Dhrs1	8182.07	9599.7468	11012.69555
Dhx38	2288.1472	1932.99245	2185.95175
Dkk3	23051.13105	19725.36205	33336.83245
Dlg4	7439.68255	8152.56895	10755.6273
Dnase2	1697.7067	1310.95385	2457.56015
Dnpep	5997.91335	5901.30845	9709.8601
Dph3	3600.71035	3252.4468	5204.77595
Dpp7	4562.8116	4589.4652	7275.0407
Dpysl3	18712.04735	19331.009	17085.01465
Dvl1	5094.18255	4892.03545	7131.17035
Dynlrb1	5034.51905	5021.8555	7202.01505
Dynlt1	3072.70265	3512.99815	5373.5593
Dysf	7580.2531	7640.84885	10322.7521
Ecm1	4814.81815	4483.1067	6181.29645
Edc4	4059.258	4469.1358	5183.18605
Edf1	6866.2966	7909.78085	8344.25065
Efemp2	38294.02835	46826.2653	56697.00225
Efna1	3572.61735	3932.6944	7004.7935
Egfl7	5170.3425	6307.17625	9297.6741
Ehd4	9131.04485	9634.7428	10973.6565
Eif2b2	13729.69345	15998.2092	22159.14345
Eif3c	6181.2749	6709.76505	8367.98445
Eif5b	1488.71645	1625.94445	1930.27905
Elk3	12139.96075	16866.441	18132.29025
Emc4	1761.0368	2078.9358	1710.795
Emp3	5527.9257	5892.3509	8850.6863
Eng	4425.82165	3923.5224	6969.24025
Eno1	3358.80735	3546.7263	5071.5235
Eno3	8695.36465	10112.4473	11205.56045
Enpp1	5190.83845	7458.39875	5791.2814
Epas1	1231.75815	1317.2425	2249.88935
Ercc1	10839.776	14803.77445	17096.96385
Ero1a	3413.2975	3978.1309	5027.6773
Erp29	1362.2348	1924.7428	1948.7572
Erp44	1348.8508	1335.58395	1450.86415
Etnk1	1665.1667	1949.98245	2256.5546
Etv4	4177.1341	4066.82535	6183.4291
Etv5	1442.9869	1251.8304	2195.3603
Fam131b	7221.43275	6603.46405	7676.8988
Fam20b	1903.23105	2101.95115	2701.6043
Fam20c	2979.23	3441.8455	4967.68375
Fam214b	5564.16165	5112.76545	7433.8664
Fam220a	4110.3001	4414.3802	5422.6667
Fasn	3425.3552	2945.0772	4793.7253
Fchsd2	3507.7858	2406.1926	4757.93905
Fhl2	11157.55195	11797.98265	13669.2959
Ficd	3415.5786	3212.68995	5348.41565
Fip1l1	3245.51765	4420.98	4235.7858
Fis1	2947.54885	3145.0711	4592.66355
Fkbp10	6937.5901	6366.2158	12402.238
Fkbp1a	6088.00315	9175.4009	8429.79115
Fkbp4	2803.6738	2634.60545	3856.33995
Foxo3	6576.56035	5427.6308	9639.8827
Frmd8	30964.86085	33753.7785	43211.69115
Fscn1	11296.7407	11419.68505	17082.2725
Fuca1	3286.29835	3024.3788	4036.81405
Furin	6463.92925	7782.33315	10767.7443
Fxyd5	2201.37615	2340.37905	4501.63485
G6pd	1896.33195	2089.99675	2620.9533
Gabarapl1	2475.12405	2713.80935	2428.1068
Gadd45a	3971.03015	3884.33825	5203.07555
Gadd45gip1	15705.53655	12780.30095	26714.60345
Gapdh	4100.2088	4527.4494	6447.03325
Gcc2	2239.2612	2580.4131	2141.1468
Gja4	4328.12185	4932.79085	7389.90605
Gjb3	3843.23515	4309.94185	6290.01135
Gk	406.90345	424.41405	482.83755
Gla	1420.6965	1315.5051	1497.68555
Glb1	2061.05135	2108.40115	3070.5892
Glb1l2	3672.3329	5119.2425	4592.30115
