BRD4_UNSTIM	BRD4_2H	BRD4_24H
Acyp2	1831.00495	1937.8164	1926.9087
Ada	19908.2628	15691.0328	26753.2851
Adam10	1707.79465	1710.06275	2236.3845
Adam15	5044.7795	5312.2269	7819.26305
Adam17	5665.20325	5344.76185	5567.56135
Adam19	12931.11175	16026.8022	17098.55285
Adam23	347.8194	375.2901	349.96365
Adam9	10275.82595	9806.17825	11657.0923
Adamts1	4249.90595	5470.42245	5684.66295
Adamts10	10003.447	6148.8731	11162.63195
Adamts12	24325.2354	20220.07025	23558.12735
Adamts14	2884.883	3140.7339	4629.3848
Adamts15	4708.2084	4467.03025	5325.47225
Adamts2	4439.28655	3967.3551	6296.1492
Adamts3	397.75855	410.04045	425.3081
Adamts4	4420.34675	4048.90805	5783.54655
Adamts5	4910.9857	3284.7256	4157.93035
Adamts9	3770.07075	2718.66465	3551.8679
Adamtsl3	1336.9777	1374.7232	1980.43635
Adamtsl4	12991.4851	13032.7382	19416.8257
Adamtsl5	5904.275	5799.602	9357.39935
Adar	1750.6277	1803.6537	2085.3651
Adarb1	13587.49025	9335.17485	14469.52305
Adat1	3214.19425	3178.2329	4491.52805
Adat2	2121.5188	3041.63755	2243.314
Adck1	1476.4988	1933.2613	2141.10555
Adck2	1997.9074	1542.05395	3005.44615
Adck3	1640.85375	1292.55385	2322.14485
Adck4	6291.53795	8040.32785	10459.0139
Adck5	3984.78125	5523.14385	5841.52645
Adcy3	3746.36355	3631.79375	6016.94755
Adcy4	7711.3545	7899.38715	11640.6969
Adcy5	2095.54105	1767.84255	3122.7332
Adcy6	6054.0675	6472.79085	9790.96005
Adcy6	6054.0675	6472.79085	9790.96005
Add1	5774.83545	5782.9684	8274.9801
Add3	1502.9722	1028.32885	2556.3124
Adgre5	5421.2507	5378.19205	7566.44925
Adgrl1	1434.36275	1607.7479	2307.71805
Adh1	2893.3992	3055.187	3345.76335
Adh5	1002.20775	888.9408	1220.28645
Adh7	2150.31985	2217.8648	2767.32695
Adhfe1	2737.9926	3172.39095	3221.8523
Adi1	1106.07205	1095.81615	1526.28125
Adipor1	4500.2874	4039.11625	5438.1975
Adk	3152.9171	2917.29835	3867.2591
Adm	7181.45685	6221.40645	9742.1974
Adnp	1723.938	1701.5348	2417.22715
Adnp2	1740.02025	1627.93725	2121.18825
Ado	3887.37765	4681.535	5121.6162
Adora2b	3122.2181	3639.85045	4302.7007
Adpgk	5167.454	5097.6832	6445.99705
Adprh	3235.70985	3776.6325	3960.19345
Adprhl2	4425.29555	3671.55465	5546.5842
Adprm	1122.4317	904.64035	1446.6258
Adra1d	3027.6723	2756.82945	5202.7921
Adra2a	220.18135	177.7025	402.71365
Adrb2	3866.2031	4465.9036	5131.35625
Adrm1	9364.7604	10100.6087	14933.9445
Adsl	5822.395	5653.90305	6565.10035
Adss	2720.00435	3262.26675	3150.36155
