brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_24	h3k27ac_log2_2_v_24	rna_log2_2_v_24
Msn	7450.74555	10638.14355	6874.8918	28928.7218	29518.671	20494.96405	228.896088551798	497.338637749001	488.524031447309	-0.629837496716457	-0.526358309977532	-0.0257989841372126
Lnc215	22187.97005	36372.31115	23588.7486	62194.11145	71169.6351	44950.5869	19.8363419198016	63.7815404323521	34.7498242864555	-0.624741715062367	-0.662921886524051	-0.876133258719288
Mtpn	3119.69175	4436.15345	2891.8349	10677.0571	13367.2833	8373.968	114.471421183343	161.011216726557	168.14865247651	-0.617324081693681	-0.674722978941181	0.062576021205822
Cstf2t	3671.59005	5660.3207	3702.69355	6509.61145	9061.4469	6415.1263	11.0094147645663	20.6731251275165	17.780840419701	-0.612308643831488	-0.498263763991854	-0.21743298001603
Rasa1	3041.1	4440.0529	2907.0883	10389.96065	17721.93135	9900.778	21.2572282588651	38.3053369530834	132.761498198573	-0.611001972731122	-0.839922037220997	1.79321949818292
Ghitm	4444.6865	9604.924	6299.1599	7107.2232	17916.82255	11718.77145	153.698350661248	221.592820501048	276.040215528468	-0.608614764909717	-0.612493474841747	0.316967324997829
Acot9	2430.4231	2929.3742	1922.22365	6906.39575	10057.76545	4803.60655	42.1631337301167	64.7030955346605	78.8129941319363	-0.607816292806458	-1.06611992098315	0.284598775210276
LOC290595	5064.63315	10438.36345	6893.64415	5984.86655	17043.283	11258.91755	0.197181653153041	4.11449852278915	1.72267866376316	-0.59855680687426	-0.598135133528775	-1.25606298836546
Trpc6	4537.6052	6371.5511	4218.1396	15972.59625	12105.3361	9943.61775	20.4499458331541	33.6650316024631	12.9477134449727	-0.595037784949577	-0.283800392909027	-1.37855347742823
Nsmce2	10750.1189	15569.2298	10342.0327	23000.7017	26367.80895	21496.7721	21.539253327618	24.3179057991136	36.5377102228149	-0.590177805433857	-0.294657649811711	0.587367232098371
Ppip5k1	2362.12085	3491.4975	2352.35015	11418.2105	9100.2579	4607.14385	17.034256879777	10.8832170799698	9.95158397607713	-0.569743116757497	-0.982034787388661	-0.129107000146283
Mbp	118.8756	198.79865	134.53	241.1756	651.7367	486.20365	0.163513015694562	0.121334767976101	0.467810091214333	-0.563380032278334	-0.422728513038948	1.94692997465862
Mrpl15	5590.60675	7933.65215	5373.1727	8749.8923	9895.53175	7419.02135	17.6274849506848	13.2892420281455	25.0122266412937	-0.562210935402273	-0.415548342403444	0.912374674313593
Ahr	13443.28235	17803.395	12058.45995	35854.38665	31442.03775	28301.3895	12.1619146075491	34.4424888957187	30.7252010196819	-0.562106715912481	-0.151821835188237	-0.164766949594282
Nipal4	6075.2811	11079.1	7508.74335	16250.96335	26449.44925	10630.43625	0.122868453108906	0.92160923605033	0.246001428904379	-0.561197304042315	-1.31503687863573	-1.90548847953267
