brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_24	h3k27ac_log2_2_v_24	rna_log2_2_v_24
Hnrnpa2b1	1893.0038	1840.33045	2075.94845	6602.934	7661.66665	6084.7752	607.377808336172	646.068268876892	855.022497089912	0.173805779032454	-0.332454293148432	0.404275760272387
Pfn1	9697.56465	11264.6473	12708.56045	36297.0702	50728.72875	38926.6452	1469.50491427062	2283.95276843935	2276.98423443289	0.17399847670012	-0.382044992509737	-0.00440851398298037
Ptpmt1	4800.7248	4788.32	5402.2786	18411.95405	20649.6992	14369.9045	17.6417118550713	21.7441692933017	25.4422756848549	0.174048472967751	-0.523070292434992	0.226599124646272
Cpne5	1539.3499	2065.55795	2330.55775	3841.7773	11406.0537	4531.49845	0.587341515219105	0.262471674838526	0.892640211887434	0.174143726436837	-1.33173963365675	1.76591705912675
Ror2	1437.2945	1741.5672	1965.1187	1490.70975	2761.8777	1459.55695	3.19061719876292	9.21237729181234	6.01600680552348	0.174230317174244	-0.920118932346734	-0.614767298698858
Taz	4776.26005	4931.8183	5565.64975	18309.62435	17945.41985	16459.80655	18.0354822542765	11.3710045361462	24.7070752647077	0.174430473399488	-0.124668296709196	1.11956452940868
Mrps18c	1846.8049	2129.1825	2402.90735	5896.0994	12661.6888	9785.6133	19.5486479373882	25.0254673101629	40.1770835895011	0.174481409140768	-0.371735664688488	0.682975834907406
Smim14	6647.86805	7189.9667	8115.154	24062.4293	29408.5089	23292.13155	162.925493147264	181.788191717506	215.017144351049	0.174633383925373	-0.336390965089629	0.242193206925517
Mprip	17327.8854	17633.7374	19906.56285	55814.6358	58362.494	54515.8483	258.699082620064	311.845449008225	247.285008010216	0.174905860329847	-0.0983658384704729	-0.33465642772206
Hnrnph1	5071.4972	5907.11155	6668.9199	14947.74555	19921.28385	17506.5423	201.405865421834	238.97077407003	174.288143944693	0.175000264969071	-0.186416459914884	-0.455359755964531
Senp7	2289.60115	2512.24395	2836.8323	8949.06445	10650.47595	8240.4682	2.87586308964136	1.45029716528832	5.14920327372985	0.175304304779001	-0.370119688570247	1.828000686003
Ift172	2577.2381	3363.93175	3798.6435	3548.97635	8058.5237	5991.8605	5.8796741543902	2.74318712668716	7.70844928426972	0.175335887050704	-0.427511529121977	1.4905876219815
Riok2	1614.471	1666.9105	1882.68	5794.935	5955.3675	3477.907	20.3512407324031	28.7067549478672	24.3926505035072	0.175611160226037	-0.775971182982854	-0.234943725693926
Gripap1	2313.8104	2634.8694	2976.1905	7550.67805	8574.3278	8842.7543	16.9031953226195	20.2610633158052	29.4754283036153	0.175735418447323	0.044472230537675	0.540802887127247
Gtpbp8	2492.2187	2468.46465	2789.21785	8705.1978	11981.894	6781.86415	2.70611317295969	4.1462492081151	5.40242897089993	0.176246634593998	-0.821102184994945	0.381801367723275
Ints10	1730.3701	2156.9882	2437.3939	2910.0594	7156.8224	3302.4963	20.5895743002165	19.5842558208183	28.8283842746861	0.176321135444185	-1.11576223379699	0.557795672748456
Nkap	1751.44045	1829.3658	2067.68765	6950.44755	8366.47025	6281.9049	10.0288630604842	5.96281466307404	10.4913162199685	0.176674679793669	-0.413416986499191	0.815130286411893
Sec13	1255.1901	1359.29545	1536.50905	3228.2456	3807.0361	2733.53285	82.2642384949712	121.105051008797	153.214276695135	0.176797196865859	-0.477901537130064	0.339291697901178
Ube2s	6180.4734	6893.791	7792.7263	16641.268	23893.54635	19034.8508	138.509572672625	231.986081651023	143.818198015438	0.176830585193816	-0.327977736968236	-0.689792012779347
Smurf2	6283.14845	6954.90335	7863.4658	26635.94035	25213.7278	21342.6828	34.7898650677817	26.3430250561661	46.0924750829892	0.177134850105192	-0.240467897584267	0.807110215361317
Spry4	7031.1233	7426.90785	8398.3795	14910.7705	24168.34535	12877.6461	8.19846007517306	19.860728386348	9.80234204824887	0.177349303065238	-0.908249796626263	-1.01872013932789
Ns5atp9	6781.82435	6666.3846	7538.6078	20770.63305	14476.6237	16986.4299	106.025415811035	92.9100770695119	43.6272121476761	0.177393564482966	0.230657497743429	-1.09060679444186
Dhx38	2288.1472	1932.99245	2185.95175	6498.8475	5735.81055	3562.7935	10.8295485257497	13.4268258042056	18.2411508850413	0.177425554498452	-0.686988506479068	0.442078474177379
Chchd1	4166.7357	4613.0138	5216.8129	14598.4969	21983.37485	17274.4965	67.4510671932121	91.3501001056303	89.1609765173424	0.177459084025759	-0.347769222384537	-0.0349938923187558
Suv39h2	1482.65485	1808.4404	2045.30005	3701.87445	4848.82325	4421.4105	0.8267856669752	1.07005519257358	0.683316081779756	0.177566452726316	-0.133127979746327	-0.647060225561498
Socs4	2557.46425	2647.24435	2994.42105	7356.75555	7977.86385	7218.8775	4.49119531557951	7.40909779521705	9.07203659245211	0.177785728331051	-0.144227980084203	0.292128583008025
Letm1	3998.6804	4676.07995	5290.47855	18805.3795	25007.8978	20665.7443	25.643700343289	22.9953485190807	32.881959874357	0.178098630375036	-0.275142462656493	0.515954227544578
Rbbp8	1557.6356	1643.9782	1860.01995	3451.30235	6534.84715	4552.43115	12.5480228182678	19.0648483896572	15.3112594008164	0.178126927053013	-0.521516293440564	-0.316322104222788
Arfgef2	1819.29625	2184.77775	2472.21455	5435.54835	8322.9333	6170.0341	10.0956899940806	9.04928286396069	13.6624335098745	0.178317425562653	-0.431813612670901	0.594339103453335
RT1-CE14	1683.1148	1908.6069	2159.71285	2352.37245	4771.68335	3391.0042	5.96642325347037	18.6662624718522	14.9125363438298	0.178319514672637	-0.492785737391321	-0.323907433047492
Zfp956	2292.51175	2639.17895	2986.4256	6506.9724	8626.0711	8813.22295	1.99478823224506	0.336918654786061	1.31102119367263	0.178330604586675	0.0309660942735874	1.96021879193444
Eif4enif1	3886.10095	4448.9502	5034.5212	14217.9456	17649.58435	14904.04375	14.578104109803	29.7364659209297	18.4039369520694	0.178389629998408	-0.243930393890953	-0.692218778920296
Tfpt	2280.96085	2547.0158	2882.2618	4945.70695	7538.87925	5633.1694	16.3203962071457	22.8010312016658	28.4691547459115	0.178393474372673	-0.420403207738694	0.320300586520329
LOC100361083	8645.8749	7921.62055	8964.34085	37660.8707	25354.0813	27885.57145	21.6282585023777	6.58950210808143	10.3194379012332	0.178401908294322	0.137300836375456	0.64712302263991
Trim44	2533.0613	2564.95905	2902.5881	5086.8341	8427.4144	6283.52995	31.0622552469891	22.828164956767	29.603368739542	0.178404063607667	-0.423514806913666	0.374946464750095
Atp6v1c2	338.49615	292.4043	330.90825	216.4827	639.02455	537.27995	1.44596242439414	2.15690923722656	1.38895022705787	0.178466733242164	-0.25019735646465	-0.634970567784907
Desi2	1876.87735	1918.0146	2170.69485	5757.40185	7980.5145	5113.0107	16.300276454906	22.277060972077	27.1121924212394	0.178543228065962	-0.642308714157055	0.283382871610559
Actr2	3424.8282	4654.3924	5267.7682	12016.429	19868.5109	15879.0311	125.080343036228	232.466082688144	271.252406429039	0.178599017600261	-0.323360864494738	0.222615697352921
RGD1560212	2025.20905	2509.7214	2841.13905	6831.88135	10228.122	7243.27135	66.3754404038401	93.316332824681	70.7868081992593	0.178942219227785	-0.497827945935187	-0.398649087644115
Arc	2458.3835	3640.42435	4122.0711	5050.19805	9089.5788	6364.38475	1.66054194578326	61.8627928160173	3.59339061737443	0.179262760043732	-0.514192388817872	-4.10565428955952
Med18	3717.10895	4237.01785	4798.4728	17951.8839	17511.1736	16390.1442	9.87420512136861	3.78067638940469	7.53017582496873	0.179526108724668	-0.0954472292465205	0.994039185577098
Ccm2	5475.49595	6707.8089	7597.6393	22595.77105	31329.82625	21780.6933	27.2643774564305	59.5102930999467	47.1276592793927	0.179709633004125	-0.524486891655798	-0.336565195533141
Rpia	4319.84635	4798.13155	5434.8452	12889.008	13439.0923	11494.6412	14.8862011824296	17.9088305168334	22.7524064517589	0.179766231308188	-0.225474265550293	0.345348013309456
Dync2h1	1559.43975	1485.4237	1683.11675	5471.28935	8547.6536	4658.255	1.67657903384894	2.57718269013922	3.12338229557897	0.180260751331391	-0.875738825853604	0.277314353152516
Tut1	21907.69545	24951.7083	28272.52065	65979.6372	86053.85855	66938.2084	8.77851708299444	3.97470561123165	13.0279900853141	0.1802619210863	-0.362409944567666	1.71269461145247
Gpcpd1	695.28655	723.34805	819.6236	1946.55875	3124.11545	2515.69355	3.75390323019534	5.36705825151575	2.80278113127877	0.180271536416871	-0.312491577910638	-0.937272457578012
Coq7	5897.88515	6728.9963	7624.8292	13718.33265	17741.8451	17145.5581	7.96496147190568	7.51000230963618	7.05758934232989	0.180313692965491	-0.0493211877276796	-0.0896378644982594
Pard6b	7351.8538	9264.07415	10497.508	23552.29065	46943.57945	22274.0312	3.38685551681515	63.4482213059168	4.70728896572491	0.180328181758817	-1.07556516794257	-3.75261139703632
Tpmt	1327.18025	1382.8219	1566.942	2166.98985	2624.89235	2262.67505	10.0308924306345	9.62867100023576	13.2298922357904	0.180336422655961	-0.214228847896539	0.458392721606195
AA926063	4485.0211	5486.5748	6217.794	11860.4436	21404.41865	15321.58875	0.104379805853796	0.815474722803193	0.267388530437844	0.180497046158772	-0.482342748869316	-1.60870257581528
Hspa14	1534.72685	1815.8232	2057.93315	4319.3438	6460.82515	5909.7846	19.8118400659737	32.7851117442587	39.4147187399508	0.180572378839573	-0.128612883789375	0.265693667496072
Exoc1	1466.3414	1563.4928	1771.97125	4742.1266	7022.2722	5382.1307	11.238510030066	6.79905150965699	20.9112696045141	0.180582620985051	-0.383760493698606	1.62087525146736
Rnf8	1113.3519	1201.91415	1362.46105	3360.39225	5038.70235	4063.42305	7.36179314079835	3.77462478406534	10.1042899812044	0.180881135455312	-0.310356660998758	1.42056280265565
Olr821	5967.33245	5331.9293	6044.41535	11296.7636	14390.4972	10903.56565	0.10125081927728	0.103946394259481	0.101671952419297	0.180945149816512	-0.400316441098871	-0.03191796701641
Hspa13	1196.4207	950.0465	1077.0391	2937.6464	2622.7617	2147.425	27.4339607456622	24.5392039997845	40.8836374916413	0.181000592371444	-0.288478987231443	0.736435109425626
Npr3	7841.182	4557.46205	5167.4095	29115.8091	8705.6971	14389.31945	171.694048312931	104.255912975835	4.76453778813354	0.181210574083655	0.72496663073537	-4.45164913577261
Alg10	1004.3468	1021.9174	1158.74965	2692.3949	4092.6697	2627.70785	8.26858836757441	14.074038867706	10.1359354118081	0.181290312901959	-0.639237353440652	-0.473557165885051
Zfp37	1632.9316	1840.60745	2087.50675	4251.50715	6440.31615	5634.06935	0.281792069604915	0.942162398210684	0.343676118405237	0.181598889519091	-0.192954188813939	-1.45492615082056
Mrps18b	5510.76545	6291.9006	7137.17885	19717.217	25709.5595	19667.92295	42.0473052926254	33.9518722340685	64.2769217880497	0.18185804620777	-0.386460283215023	0.92080970792245
Lrfn4	6002.9278	6995.3535	7935.79075	13705.747	24456.9813	18595.2553	20.022387599595	46.85742564601	32.8751867181711	0.181977021687951	-0.395311789200235	-0.511278606126059
Glipr1	3643.9433	3324.3435	3771.2616	9011.51415	5626.2813	9015.6352	104.638984107719	118.141858211	29.7284822389081	0.18197776738193	0.680247455263874	-1.99060249415323
Ttc30a	445.6924	397.8193	451.3226	1459.6666	1064.60635	1000.76025	0.328194171757973	0.195765987262777	1.04897082859973	0.182045753897912	-0.0892236843753533	2.42177252240514
Syt11	3988.61235	3701.35205	4199.46275	16335.0475	12381.537	10230.3943	14.5007516644109	9.58211511061425	20.2973217770936	0.182152408841599	-0.275328666176852	1.08287332709363
Nipsnap1	2968.5013	3119.2439	3539.143	5879.51935	5034.63375	5948.66395	14.9538164955938	8.88752739186433	25.9316053309338	0.182203691041185	0.240678848725205	1.54485751461467
Kpna3	2414.5532	2286.4065	2594.3574	6198.59375	8356.2818	7328.93885	28.041099645523	29.0434362026789	39.3716816134929	0.182295316711858	-0.189256818367822	0.438946180767462
Car13	1651.96375	1857.90865	2108.32325	5793.64075	5431.8709	5079.45905	0.622927094118504	1.46891768539093	0.904622280422675	0.182416510458676	-0.0967743295896195	-0.699366118581998
Tmem167b	2677.67305	2478.3907	2812.95955	6903.0128	8998.3868	6540.2306	34.3467000178511	38.6250344189024	37.3596428979823	0.182685171399948	-0.460324879027112	-0.0480555534902392
Timm23	2882.85265	2885.63135	3275.4968	5507.15565	8218.8464	5132.30625	21.3609543375392	28.7404744612587	46.9830424042662	0.182826737168618	-0.679328650868484	0.709056259945779
Pitrm1	2364.1228	2138.49135	2427.4568	5227.5233	4962.62835	4100.12695	33.6830463897854	42.2852325072813	39.6870462411968	0.182852249432406	-0.275435835804631	-0.0914857194526215
Pars2	8783.7468	11640.1846	13213.28965	24523.18575	53015.94615	26405.29575	3.14051947289364	1.19698741701343	4.02237231082236	0.182875754320618	-1.00559905886778	1.74863863724777
Dolk	8638.2329	11302.10415	12829.66465	41383.58075	56261.2453	43752.20575	17.799275271108	15.6592712249849	31.1044478081391	0.182892071893413	-0.362785734293292	0.990103822713851
Prss12	1126.91595	1174.3477	1333.08575	3367.71215	2415.60905	3733.68345	4.27214704002309	3.76525266549895	4.40249319952748	0.182909960189951	0.628212634736812	0.225574096032584
RGD1304624	2282.4301	2585.74955	2935.4315	7222.3203	9180.3447	6302.46465	2.2712136038945	2.09346882985384	3.53158340130507	0.182990045297071	-0.542632203256415	0.754419729743168
Mapk3	8177.35585	9307.51205	10566.2638	17018.976	20322.23615	19206.44335	88.423679931434	83.9320952025818	120.441706853958	0.182997850159506	-0.0814687718710427	0.521040558178281
RGD1307704	5800.9633	5822.861	6610.39775	14082.4601	25709.5227	11999.622	4.62790982606104	14.3351913406645	6.80436782315417	0.183008901827222	-1.09931386641039	-1.07502812538033
Pi4ka	1218.8729	1219.08285	1384.05455	4078.60235	5774.42345	4057.2717	8.1473295576958	7.26561874986104	13.3810055203157	0.183104629122177	-0.509166989601205	0.881028961821816
Acta2	19992.1401	17852.5576	20271.95825	52114.7051	30170.18465	38176.75115	5251.23664315476	6011.84353325165	945.178031479337	0.183354685376161	0.33957080808695	-2.66914945892138
Tfg	555.77865	506.7426	575.46895	2163.21405	3602.5168	1887.2983	56.6656539669465	94.4776771117475	78.3012032942384	0.183484972347845	-0.932682689818828	-0.270939015841497
Cisd2	2539.05005	2251.83215	2557.6449	9631.00025	14169.7562	8188.01135	30.3202802229523	34.0012062774562	47.4435113959006	0.1837166823292	-0.791229928649662	0.480624860315849
Dnai2	1170.1524	1704.8244	1936.8195	2472.25095	4489.16175	3137.16195	0.185824783686606	0.249982725996617	1.18162607182736	0.184066362951141	-0.51698607177776	2.24087325163468
Comtd1	1467.09645	1882.84535	2139.08345	5768.17415	8640.03605	5631.2378	11.9503248446786	10.7298459421386	24.0154598793839	0.18407825892357	-0.617585256604048	1.16233407325023
S100a6	7776.62085	9290.95845	10556.84355	41408.7161	48024.05375	42282.953	4222.18504531094	5175.24265245073	6443.37444832377	0.1842792026711	-0.183681051140141	0.31618992946431
Enoph1	1553.36535	1866.83645	2121.30205	6692.88885	13930.071	7825.95475	31.2915748520214	44.9628639878276	35.1474677204289	0.184354518021784	-0.831863937559765	-0.355313182672243
Slx1b	9127.0258	8650.06165	9829.80735	24823.1156	22438.3471	19858.8995	7.70582390306255	4.21689957430974	8.62943546688392	0.184452727065635	-0.17618072832121	1.03308351797659
Cttnbp2	497.20565	555.72365	631.5409	1924.229	3488.0747	2815.23965	3.81456869802056	2.20940438914389	6.13378344902763	0.184508530647367	-0.309173198606599	1.47311973313693
Aldh9a1	2232.68235	2851.9293	3241.2168	7283.3521	6791.47285	7332.9966	62.0405936288619	76.2977445486478	108.705721344834	0.184597306057899	0.11067838833859	0.510715558527872
Rsl24d1	2420.347	1994.10975	2266.41125	7519.539	6817.43005	5045.22465	35.3953562667701	49.4556579546364	38.7095054164071	0.184664854428702	-0.434309482484466	-0.353447706649118
Ankrd10	2924.26605	2929.2977	3329.6395	8821.8384	9444.99445	9201.59	17.724135588633	9.0679882315557	14.5709508190864	0.184811165653112	-0.0376667739028687	0.684240598854866
Fermt2	7779.56115	9550.369	10857.2285	25376.27515	36104.738	29608.8274	111.130109652005	270.18837081525	127.935159412547	0.185027495552328	-0.286160816899764	-1.07855277769508
Rcc1	6358.06825	7504.34665	8531.8475	21586.34985	29269.7047	22746.8384	15.2166595545032	16.4665333675704	17.4910110779644	0.185131706746224	-0.363742152583107	0.0870768251874656
Stag2	2487.45545	2492.1796	2833.64235	9305.9044	9923.0851	7813.87935	18.6612113696913	13.8287667907765	19.8306874584463	0.185249638509593	-0.344749746308654	0.520062184595294
Abhd13	1658.15755	1749.78215	1989.6662	4462.10465	6656.04775	4073.8944	4.69070023413581	5.98952844029129	6.20298833886415	0.185351098733882	-0.708257198821126	0.0505209896490517
Ddx10	2313.43835	1847.5212	2100.9492	5363.892	3770.88875	3959.16025	11.4596636831159	6.60636887204419	11.9556242171721	0.185450359566858	0.0702898744768525	0.855760025767047
Pfdn6	3767.11815	4416.6797	5022.61835	10335.4232	15631.8834	11003.99745	103.615565940883	100.46182029647	167.228125114695	0.185477443022238	-0.506463900786969	0.735170185254269
Trmt10c	2296.40115	2469.94395	2808.8323	8543.46445	11263.27595	6566.5682	6.99278635316684	15.9617884690511	9.87912808991053	0.185492188253802	-0.778415003963683	-0.692166686682314
Heatr1	2094.6212	1854.7088	2109.4635	10475.7004	4403.8611	5070.6218	0.112294207670085	0.102523595177997	1.32239413406849	0.185683431685801	0.203393706533838	3.68912434969894
Junb	10539.99925	13784.28095	15678.3372	51655.19	70495.7722	54891.13705	62.241689081062	807.150129085716	200.249901815554	0.185748547561532	-0.360963513708352	-2.0110355029739
Fastkd3	1057.2257	960.0484	1092.0542	2585.2565	3225.4837	2630.7954	5.81936516861762	6.08957200046708	6.79148923949099	0.185865415785184	-0.294016473394162	0.157387130392781
Bbs10	1613.9134	1508.0883	1715.6725	4262.29785	3733.6833	3475.7951	1.95147962653347	1.62381761655757	4.68094601886429	0.186053284791873	-0.103256522883095	1.52741052639376
Gk	406.90345	424.41405	482.83755	1261.2705	1520.86745	1459.77645	2.00876176624846	2.90126527543133	5.1442873756122	0.186065461333305	-0.0591469697303104	0.826289024757232
Snap29	1306.5029	1265.86485	1440.2378	4301.57585	5929.5872	4117.93995	16.5850467024633	14.0127320656866	25.487008075939	0.186183653332767	-0.526008880210187	0.863023759305542
Arrdc3	3588.11045	3674.1103	4180.28025	13533.86325	16475.40845	13309.879	16.027735004794	27.7910526251506	105.824916816834	0.186204727144064	-0.30781677646231	1.92898696984636
Mb21d2	2987.3232	3168.1944	3604.68355	9621.1833	11252.6191	7862.5421	7.87961795429137	3.39136216727065	6.61583677545159	0.186211751180881	-0.51719309254163	0.964058781506514
Sept11	18506.93515	18310.27515	20833.3267	68502.1922	56634.65655	62412.3667	143.519590724268	221.901833740774	110.668762052121	0.186239758905055	0.1401467659333	-1.00367353277463
Sntb2	9760.93065	8866.0207	10087.9071	29225.0519	20390.0327	25833.21555	3.29956716174089	3.85965308742349	5.70861865429322	0.186268259033566	0.341363142850007	0.564670509711016
Map3k5	2684.43365	2494.0832	2837.8565	5302.34445	7221.6486	6433.5494	3.54189861854484	9.37917621351064	5.59463905579669	0.186292046679428	-0.166713327067713	-0.745416157162335
Zfp672	5663.2391	6502.19275	7398.44005	14866.5895	21973.03215	18073.7583	5.91679439581178	8.47273933300624	8.46187249158783	0.186294789026539	-0.281837432168359	-0.00185153820337991
Ccbl1	4537.604	5163.3335	5875.1166	11282.52125	14338.4646	11192.0362	8.67569229140073	4.81249386555106	14.1530915462719	0.186314699423439	-0.357418010844363	1.55626061735803
Smim3	7387.30645	8609.0215	9796.3569	18136.57765	25201.797	21248.1544	7.97271174664058	19.4110308800475	28.4535004368152	0.186396064542565	-0.246189072755145	0.551729409553428
Cyb5d2	1718.7835	1663.9011	1893.6118	5531.3796	8754.64855	5113.24525	2.5908950033602	1.13100151335101	4.43570510463049	0.186570917123131	-0.775810039082138	1.97156259542291
Foxj3	1326.177	1363.81125	1552.27635	4613.7949	7502.13025	5124.76115	11.0242165348488	15.8622446555381	15.1573098754934	0.186741431007567	-0.549815544481502	-0.065583214067725
Abhd17c	7478.6097	6420.3955	7307.95635	22878.71565	13104.97065	16119.6184	13.4842758135412	13.3600393775661	13.1742255280391	0.186805845940466	0.298703468727659	-0.0202061072604889
Nme3	4500.79765	5058.2099	5757.6072	10110.7473	12837.68925	12664.9026	12.7301463529412	15.7914642879321	37.3457202808795	0.186842461978019	-0.0195495625669082	1.24179796998647
Itga1	10275.93685	9664.31545	11000.6895	34887.1556	33227.76015	27223.64175	40.8263195924373	41.609886750103	75.248642999514	0.186854500547096	-0.287528974311904	0.854739203392012
Hmox2	1869.35745	2147.78945	2444.87385	4105.3311	7347.7519	4711.99545	22.6714081499492	30.0884284852209	32.1117313920495	0.186907455891467	-0.640964767980764	0.0938916971586972
Gla	1420.6965	1315.5051	1497.68555	4500.018	4906.49935	3931.8506	34.5623983007576	41.5901283314978	62.1862658440821	0.18711790963957	-0.319485564921361	0.58035485232738
Ift80	4188.5479	3862.8227	4398.13385	18343.32595	15138.614	14523.3327	9.42723136654708	7.77594468242363	20.134872270439	0.187236050204152	-0.0598605773125165	1.3726064594382
Ift46	6831.92745	8860.5795	10088.51675	39909.7552	57352.29695	43349.4235	30.0051375835601	17.662476146787	36.2303699863028	0.187241117642621	-0.403838459789862	1.03651192654075
Mrpl49	9984.5811	11361.4	12935.9758	16559.8136	21759.24375	17112.6737	41.343610427964	28.8745330171071	79.3493281012402	0.187248264190641	-0.346563230648744	1.4584203926838
Scrn1	7964.0826	8635.6492	9832.8702	27047.7658	35633.97865	27882.7865	37.8427020674403	41.1457212787453	47.4162417921237	0.187307959600629	-0.353878828188462	0.204638906075742
Arih1	2765.1046	2954.61185	3364.44435	9487.41485	13162.5746	9826.59965	26.9538450781998	43.196669789634	43.2949204819234	0.187399643556574	-0.421677523195527	0.00327767929932321
Ehd4	9131.04485	9634.7428	10973.6565	29635.70115	34536.9153	30757.2287	32.8848213387865	57.8984811601232	69.7711590854639	0.187726262722101	-0.167213713958462	0.269105298096986
Nbn	4169.6618	4040.90055	4603.6787	7931.8755	9423.4229	8586.4085	21.1159034397625	20.0913315215585	25.6144297863616	0.188110302387644	-0.134196378855922	0.350383596110408
Fau	9921.0963	11288.7352	12861.3322	16481.4674	21657.29475	17004.0233	537.817302694904	1355.33209441907	1108.15438280723	0.188156233040598	-0.348976903713231	-0.290487510876822
Fam135a	3965.54685	3379.8397	3851.01025	15060.5514	8642.38555	6939.33165	12.662426489446	4.79084196858946	6.39929572607818	0.188282139495039	-0.316632874429471	0.41763391286809
Sik3	6852.1754	6841.13445	7795.46105	19794.46705	17865.1296	15929.36505	8.15966037693591	12.9333413569853	12.1002596306949	0.188398767486895	-0.165457618097731	-0.0960570435241208
Chd8	3405.3761	3190.1956	3635.28295	9895.6098	9412.82795	8566.84665	14.3612619612747	9.28346705013161	17.8336731565669	0.188422777337628	-0.135863961342885	0.941868274596416
Atp5a1	2065.56985	2212.1826	2520.8588	4221.43825	6373.64165	4870.8249	286.412070434943	303.518246831892	466.878497592698	0.188444836535066	-0.387951786631566	0.62126389514958
Hnrnpdl	1167.57345	1406.93285	1603.36645	4912.5759	9080.22795	5861.7529	116.283617671067	191.091722944951	112.600959731306	0.188550718305466	-0.631396362340682	-0.763046165971724
Msl3	717.4324	837.51405	954.50095	2830.62755	4362.0352	2521.3836	18.8807830034927	17.8005374638437	15.6704533570651	0.188633240442911	-0.790785787408092	-0.183873883550115
Hspa5	4875.13555	5034.8285	5738.1218	16691.59665	23451.83225	14751.79525	363.064615353246	1058.35203143011	657.518033734184	0.188635954798503	-0.66881010545246	-0.686717210914313
Scaf4	1644.89395	1522.93725	1735.70795	5561.76205	10148.77855	6090.32675	12.0533001076001	26.4150061026502	13.7941522825479	0.188667721225956	-0.73671456633422	-0.937300944376404
Nf2	3432.18715	3598.3179	4101.09455	8879.72385	10075.5182	8865.66835	17.2344718036136	18.6980523946706	25.3774931356657	0.188686355362627	-0.184552740984351	0.440661556931879
Gtf2h2	762.68985	910.7873	1038.05045	2376.71515	3778.16	2740.1117	13.4941013414992	11.8172958131502	17.0861155248324	0.188690481601977	-0.463449093712855	0.531924504969024
Nfkb1	5241.5543	6410.05885	7305.9767	14968.6248	22610.2523	17937.7329	21.0496602697455	80.3523612028296	35.119399660396	0.188739550588743	-0.333979527136266	-1.19407223568905
Rabepk	4359.0941	4392.44675	5006.9446	13070.68865	16732.27825	11663.4846	8.15574353680841	11.1903683089807	15.2025491920198	0.188905696193304	-0.520635019988212	0.442055737201521
Znrf2	2012.1543	1980.88565	2258.0294	4947.3618	6805.9333	5889.23445	3.59236272182903	2.50434651147252	4.33238596163799	0.188918669813546	-0.208712904313543	0.790727581654164
Hnrnpa3	13748.20645	15551.7243	17728.2294	48608.18445	51213.76135	44431.5486	109.140095999484	121.112156586572	126.335210774685	0.188973906551558	-0.204947095097138	0.060913105160755
Qsox2	1952.2995	2340.16825	2667.7042	5587.29195	7802.39495	6731.4048	10.1665469452185	11.6012896578003	11.6977410610118	0.18898644836389	-0.213009410853871	0.0119447678034836
Dcun1d5	1551.27895	1472.6371	1678.75355	5461.5782	8542.038	4656.1037	56.7026157848815	91.4330815515979	76.0135607756116	0.188988497717803	-0.875457125870691	-0.266459426085713
Arpc2	7804.07875	8435.76405	9616.79615	24950.4314	26042.61725	21161.1264	500.882881901999	676.414413781672	775.23685794288	0.189037594803914	-0.299458021119127	0.196729761421862
Wdhd1	2613.3778	2667.73105	3041.4354	7437.86805	8110.224	7328.74245	7.45874846949011	3.58322387840151	3.35584947987679	0.18913913463823	-0.146176096077536	-0.0945801774370787
Pter	2017.3987	2695.2854	3072.85285	4130.5682	7701.28425	5232.22645	11.6715734933256	13.1638047701598	57.2632427571231	0.18914063608303	-0.557674064847767	2.1210328355485
Abcd3	1008.5812	1082.7964	1234.4798	4543.8054	6128.7728	4732.7792	18.6314635753269	9.99981826284118	25.5754642631474	0.189141233503364	-0.372910606482748	1.35478664835373
Mbnl1	12680.85305	10801.5008	12316.0481	37302.8627	26162.5755	31872.8548	63.0781537669283	67.7947885863865	74.3765353814031	0.189307627275845	0.284823674943578	0.133673168629045
Rps27	4426.70705	4596.0047	5242.485	11169.415	11285.01065	12254.89335	2339.30239102657	2771.20639758687	2306.7819461618	0.189870555109003	0.118950148950406	-0.26463252935798
Taf5	4293.88965	4093.3865	4669.5576	7453.33645	7516.532	5567.79995	2.4866151026494	3.26776898098085	1.34169546163384	0.189990980251986	-0.432959804104378	-1.28424874853581
Pcyox1	4741.17835	4645.901	5300.28105	9787.2838	8287.8578	9755.46435	49.3921511843577	37.4563498068656	62.8769103167629	0.190110449383896	0.235211295249838	0.747320014294109
Mcm7	3244.6518	3494.99455	3987.88535	8188.92375	9106.67295	8394.934	30.332593466453	19.6370710979097	13.5736446769211	0.190333727563452	-0.11740509030583	-0.532771612624265
Tia1	4468.9664	4471.40305	5102.1654	10731.81345	11430.79915	8670.0549	18.8493697898117	4.91621525033527	20.1180864249371	0.190382072881143	-0.398813234834758	2.03287309782345
Hn1l	5695.3745	6347.5949	7243.98835	17549.9846	23399.94345	18619.351	41.8582483446608	56.1032773879466	44.7240177252503	0.190574166993958	-0.329702256399012	-0.327035254606874
Pigh	724.38165	942.3343	1075.5557	1639.8701	2710.64275	1553.76395	8.7630287668262	5.23666521034514	8.55342641500955	0.19077137741181	-0.802867641127724	0.707854091058056
Otud7b	7440.58285	6914.01625	7892.51705	20357.0251	20464.49655	19030.5991	15.0615056256195	17.5019254736981	18.065786474754	0.190961477790463	-0.104802195635186	0.0457464134963459
