GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
5033	Nup98	948.3736	3043.732	4_RASMC_H3K27AC_PDGF_24H_NEW_1965_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_1965_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_1966_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_1966_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_1665_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_1665_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_REP2_1665_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_1665_lociStitched_4,6_RASMC_H3K27AC_PDGF_2H_REP2_1665_lociStitched_5
3793	Lamtor4	391.2	278.3618	4_RASMC_H3K27AC_UNSTIM_NEW_7215_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_7215_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_7215_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_7215_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_REP2_4577_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_4577_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_NEW_7217_lociStitched_1
7994	Tmem67	482.4	1391.3006	3_RASMC_H3K27AC_UNSTIM_REP1_10208_lociStitched,3_RASMC_H3K27AC_UNSTIM_REP1_10208_lociStitched,6_RASMC_H3K27AC_PDGF_2H_REP2_19552_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_19552_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_REP2_19552_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_NEW_22384_lociStitched
7098	Slc30a6	595.2	1100.5806	4_RASMC_H3K27AC_PDGF_24H_NEW_24585_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_24585_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_24585_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_24585_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_REP2_14707_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_24008_lociStitched
6529	Rnpepl1	349.6	1617.811	8_RASMC_H3K27AC_PDGF_24H_NEW_30760_lociStitched_1,8_RASMC_H3K27AC_PDGF_24H_NEW_30760_lociStitched_1,8_RASMC_H3K27AC_PDGF_24H_NEW_30760_lociStitched_2,8_RASMC_H3K27AC_PDGF_24H_NEW_30760_lociStitched_3,2_RASMC_H3K27AC_UNSTIM_NEW_32202_lociStitched
8430	Ulk1	452.6	2487.7725	5_RASMC_H3K27AC_PDGF_2H_REP2_7114_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_7114_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_7114_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_7114_lociStitched_3,8_RASMC_H3K27AC_UNSTIM_REP1_3292_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_7271_lociStitched_4,5_RASMC_H3K27AC_PDGF_24H_REP2_4952_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_4952_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_4951_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_4951_lociStitched_3
6304	Rbak	180.069	1136.0554	4_RASMC_H3K27AC_PDGF_2H_REP2_6444_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_6444_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_6680_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_6680_lociStitched_2
5518	Plcb4	899.6	3721.8412	2_RASMC_H3K27AC_PDGF_24H_NEW_19538_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_19538_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_20493_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_20495_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_11760_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_11760_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_11760_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_20496_lociStitched
3250	Hspa13	407.4	516.8032	4_RASMC_H3K27AC_PDGF_2H_REP2_5438_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_5438_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_5438_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_5438_lociStitched_3,3_RASMC_H3K27AC_UNSTIM_REP1_2516_lociStitched
3384	Il4r	705	3731.1542	4_RASMC_H3K27AC_PDGF_24H_NEW_2277_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_2277_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_2277_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_2277_lociStitched_3,2_RASMC_H3K27AC_PDGF_24H_NEW_2278_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_2377_lociStitched,4_RASMC_H3K27AC_UNSTIM_REP1_1022_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_2279_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_2276_lociStitched
3193	Hnrnpd	851	672.0366	5_RASMC_H3K27AC_PDGF_24H_REP2_5729_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_5729_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_5729_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_5729_lociStitched_3
405	Ap4e1	815.6	2254.4953	8_RASMC_H3K27AC_UNSTIM_REP1_8834_lociStitched_1,8_RASMC_H3K27AC_UNSTIM_REP1_8834_lociStitched_1,8_RASMC_H3K27AC_UNSTIM_REP1_8834_lociStitched_2,8_RASMC_H3K27AC_UNSTIM_REP1_8834_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_20350_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_19381_lociStitched
8428	Uhrf2	1613.6	859.6672	5_RASMC_H3K27AC_PDGF_24H_REP2_2045_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_2045_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_2045_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_2045_lociStitched_3
5538	Plekhh1	318.923	22.8474	4_RASMC_H3K27AC_UNSTIM_NEW_26598_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_26598_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_REP2_15170_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_REP2_15170_lociStitched_2
2626	Foxm1	492.5066	1368.3516	6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_4,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_5,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_6,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_7,6_RASMC_H3K27AC_PDGF_2H_NEW_21361_lociStitched
3518	Jmjd7	586	769.4308	5_RASMC_H3K27AC_PDGF_24H_REP2_11561_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_11561_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_11561_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_11561_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_NEW_20201_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_20202_lociStitched
7144	Slc41a1	704.4	229.7987	4_RASMC_H3K27AC_UNSTIM_NEW_7917_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_7917_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_5044_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_5044_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_5044_lociStitched_3
5316	Pdzd4	269.8824	243.099	4_RASMC_H3K27AC_PDGF_24H_NEW_31696_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_31696_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_31696_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_33273_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_33273_lociStitched_5
8879	Zfp319	669.6731	323.1565	4_RASMC_H3K27AC_PDGF_2H_NEW_13523_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_13523_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_8486_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_8486_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_8486_lociStitched_4,5_RASMC_H3K27AC_PDGF_24H_REP2_8486_lociStitched_5
7511	Stk25	660.8	386.7126	6_RASMC_H3K27AC_PDGF_2H_REP2_26775_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_26775_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_30030_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_30030_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_30030_lociStitched_3
2604	Fn3krp	459.6	270.341	3_RASMC_H3K27AC_PDGF_24H_NEW_5668_lociStitched_1,3_RASMC_H3K27AC_PDGF_24H_NEW_5668_lociStitched_1,3_RASMC_H3K27AC_PDGF_24H_NEW_5668_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_NEW_5777_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_5777_lociStitched_3,4_RASMC_H3K27AC_PDGF_24H_NEW_5669_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_5669_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_5669_lociStitched_3
1827	Dhrs7b	650.2	2844.3633	1_RASMC_H3K27AC_PDGF_2H_REP2_3910_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_3910_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_4366_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_4366_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_4366_lociStitched_3,7_RASMC_H3K27AC_UNSTIM_REP1_1936_lociStitched_1,7_RASMC_H3K27AC_UNSTIM_REP1_1936_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_REP1_1938_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_4365_lociStitched
1085	Cd320	429.011	1518.5993	6_RASMC_H3K27AC_PDGF_2H_REP2_22930_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_22930_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_22930_lociStitched_5,4_RASMC_H3K27AC_PDGF_2H_REP2_22931_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_22931_lociStitched_2,1_RASMC_H3K27AC_UNSTIM_NEW_27452_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_26216_lociStitched
386	Aoc3	304.587	782.7733	5_RASMC_H3K27AC_PDGF_24H_NEW_5159_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_5159_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_4946_lociStitched,5_RASMC_H3K27AC_UNSTIM_REP1_2353_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_REP1_2353_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_3496_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_3496_lociStitched_2
5564	Plxdc2	779	4570.1324	3_RASMC_H3K27AC_UNSTIM_NEW_13331_lociStitched,3_RASMC_H3K27AC_UNSTIM_NEW_13331_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_13332_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_12838_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_12461_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_12461_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_12461_lociStitched_3
8067	Top1mt	753	363.1446	5_RASMC_H3K27AC_PDGF_24H_REP2_16257_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_16257_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_16257_lociStitched_3,3_RASMC_H3K27AC_PDGF_24H_NEW_27230_lociStitched_1,3_RASMC_H3K27AC_PDGF_24H_NEW_27230_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_NEW_26649_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_26649_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_26649_lociStitched_3
2971	Grk5	637.4	3492.1074	6_RASMC_H3K27AC_PDGF_24H_NEW_3522_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_3522_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_3522_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_NEW_3522_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_NEW_3370_lociStitched,3_RASMC_H3K27AC_PDGF_24H_REP2_2341_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_3614_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_3614_lociStitched_3,8_RASMC_H3K27AC_PDGF_24H_REP2_2346_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_3615_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_3615_lociStitched_3
8700	Xiap	160.4	773.2928	3_RASMC_H3K27AC_UNSTIM_REP1_14237_lociStitched,3_RASMC_H3K27AC_UNSTIM_REP1_14237_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_30830_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_33160_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_33160_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_33160_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_33159_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_33161_lociStitched
5341	Pex10	583.2	1497.8061	5_RASMC_H3K27AC_PDGF_2H_REP2_21226_lociStitched,5_RASMC_H3K27AC_PDGF_2H_REP2_21226_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_24263_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_24261_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_24261_lociStitched_5,4_RASMC_H3K27AC_UNSTIM_NEW_25413_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_25413_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_25413_lociStitched_3
654	Atpaf2	741.2	1883.3586	1_RASMC_H3K27AC_PDGF_2H_NEW_4041_lociStitched,1_RASMC_H3K27AC_PDGF_2H_NEW_4041_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_2804_lociStitched,3_RASMC_H3K27AC_PDGF_2H_NEW_4039_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_4040_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_4040_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_4040_lociStitched_3
5373	Pgap2	914.8583	3043.732	4_RASMC_H3K27AC_PDGF_24H_NEW_1965_lociStitched,4_RASMC_H3K27AC_PDGF_24H_NEW_1965_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_1966_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_1966_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_1665_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_1665_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_1665_lociStitched_4,6_RASMC_H3K27AC_PDGF_2H_REP2_1665_lociStitched_5
4033	Maea	674	2326.1077	6_RASMC_H3K27AC_PDGF_24H_NEW_9369_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_9369_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_NEW_9369_lociStitched_3,8_RASMC_H3K27AC_PDGF_2H_NEW_9109_lociStitched_1,8_RASMC_H3K27AC_PDGF_2H_NEW_9109_lociStitched_2,8_RASMC_H3K27AC_PDGF_2H_NEW_9109_lociStitched_3
2284	Etv1	689.043	613.4094	6_RASMC_H3K27AC_PDGF_2H_REP2_21880_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_21880_lociStitched_1,6_RASMC_H3K27AC_PDGF_2H_REP2_21880_lociStitched_2,6_RASMC_H3K27AC_PDGF_2H_REP2_21880_lociStitched_3,6_RASMC_H3K27AC_PDGF_2H_REP2_21880_lociStitched_4,6_RASMC_H3K27AC_PDGF_2H_REP2_21880_lociStitched_5,2_RASMC_H3K27AC_PDGF_2H_NEW_24468_lociStitched
791	Bmp4	378.6	1885.9164	5_RASMC_H3K27AC_PDGF_24H_NEW_9978_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_9978_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_9978_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_9978_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_NEW_10309_lociStitched,5_RASMC_H3K27AC_PDGF_24H_NEW_9980_lociStitched
6851	Sema3f	174.468	5610.0068	10_RASMC_H3K27AC_UNSTIM_REP1_13332_lociStitched_1,10_RASMC_H3K27AC_UNSTIM_REP1_13332_lociStitched_1,10_RASMC_H3K27AC_UNSTIM_REP1_13332_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_29309_lociStitched,6_RASMC_H3K27AC_PDGF_24H_NEW_29310_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_17704_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_25598_lociStitched
4040	Maged2	288.2921	89.0511	4_RASMC_H3K27AC_PDGF_2H_REP2_19570_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_19570_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_19570_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_19570_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_19570_lociStitched_4
758	Bdnf	1698.3339	2365.2304	3_RASMC_H3K27AC_PDGF_24H_NEW_19066_lociStitched,3_RASMC_H3K27AC_PDGF_24H_NEW_19066_lociStitched,1_RASMC_H3K27AC_PDGF_2H_REP2_16709_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_11458_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_11458_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_11458_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_REP2_11458_lociStitched_4,6_RASMC_H3K27AC_PDGF_24H_REP2_11458_lociStitched_5,6_RASMC_H3K27AC_PDGF_24H_REP2_11458_lociStitched_6,6_RASMC_H3K27AC_PDGF_24H_REP2_11458_lociStitched_7,6_RASMC_H3K27AC_PDGF_24H_REP2_11458_lociStitched_8,6_RASMC_H3K27AC_PDGF_24H_REP2_11458_lociStitched_9,8_RASMC_H3K27AC_PDGF_2H_REP2_16711_lociStitched_1,8_RASMC_H3K27AC_PDGF_2H_REP2_16711_lociStitched_2,8_RASMC_H3K27AC_PDGF_2H_REP2_16711_lociStitched_3
368	Anks3	523.074	780.5645	3_RASMC_H3K27AC_UNSTIM_NEW_3750_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_3750_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_3750_lociStitched_3,5_RASMC_H3K27AC_PDGF_24H_REP2_2418_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_2418_lociStitched_3,1_RASMC_H3K27AC_PDGF_24H_NEW_3656_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_2419_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_2419_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_3364_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_3364_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_3364_lociStitched_4,4_RASMC_H3K27AC_PDGF_2H_REP2_3364_lociStitched_5
7288	Snx12	375.2	1216.1875	5_RASMC_H3K27AC_PDGF_2H_REP2_27165_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_27165_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_30591_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_30591_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_NEW_30591_lociStitched_3,6_RASMC_H3K27AC_UNSTIM_REP1_14159_lociStitched,2_RASMC_H3K27AC_UNSTIM_REP1_14158_lociStitched,6_RASMC_H3K27AC_UNSTIM_REP1_14161_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_14161_lociStitched_3
7962	Tmem242	543.864	789.734	5_RASMC_H3K27AC_PDGF_24H_NEW_469_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_469_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_441_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_442_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_442_lociStitched_2
6216	Rab6a	379	876.9934	4_RASMC_H3K27AC_PDGF_2H_NEW_1828_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_1828_lociStitched,5_RASMC_H3K27AC_PDGF_24H_REP2_1134_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_1134_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_1134_lociStitched_3,5_RASMC_H3K27AC_PDGF_2H_REP2_1621_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_1621_lociStitched_3
8416	Ufsp2	630.8	946.993	2_RASMC_H3K27AC_UNSTIM_NEW_11668_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_11668_lociStitched,5_RASMC_H3K27AC_PDGF_2H_REP2_10308_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_REP2_10308_lociStitched_2,5_RASMC_H3K27AC_PDGF_2H_REP2_10308_lociStitched_3,4_RASMC_H3K27AC_PDGF_2H_REP2_10307_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_10307_lociStitched_3
8919	Zfp51	593.2	943.5139	4_RASMC_H3K27AC_PDGF_2H_REP2_477_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_477_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_630_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_630_lociStitched_2,6_RASMC_H3K27AC_PDGF_24H_REP2_330_lociStitched
1960	Dpy19l4	827.6	233.573	5_RASMC_H3K27AC_UNSTIM_NEW_23458_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_23458_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_23458_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_23458_lociStitched_3
1750	Ddx10	515.4	1727.471	4_RASMC_H3K27AC_PDGF_2H_REP2_24841_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_24841_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_24841_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_24841_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_NEW_29770_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_29768_lociStitched,2_RASMC_H3K27AC_PDGF_24H_NEW_28438_lociStitched
4662	Naga	430.3176	1205.9304	4_RASMC_H3K27AC_UNSTIM_NEW_28763_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_28763_lociStitched,4_RASMC_H3K27AC_UNSTIM_NEW_28761_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_28761_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_16467_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_23972_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_23972_lociStitched_3
4253	Mettl7a	739.2	734.9326	5_RASMC_H3K27AC_PDGF_24H_REP2_16665_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_16665_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_REP2_16665_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_REP2_16665_lociStitched_3,3_RASMC_H3K27AC_PDGF_2H_NEW_27177_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_16666_lociStitched
5119	Ostm1	369.93	131.8996	4_RASMC_H3K27AC_PDGF_2H_NEW_17507_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_17507_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_NEW_17507_lociStitched_2
6850	Sema3e	358.521	98.739	4_RASMC_H3K27AC_PDGF_2H_REP2_17862_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_17862_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_17862_lociStitched_2
6428	Rhno1	538.889	1368.3516	6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_1,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_2,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_3,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_4,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_5,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_6,6_RASMC_H3K27AC_UNSTIM_REP1_9947_lociStitched_7,6_RASMC_H3K27AC_PDGF_2H_NEW_21361_lociStitched
2602	Fmr1	279.4	382.5508	1_RASMC_H3K27AC_UNSTIM_NEW_33243_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_33243_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_33242_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_33242_lociStitched_2,5_RASMC_H3K27AC_UNSTIM_NEW_33242_lociStitched_3
4504	Mrps26	474.4	143.3625	4_RASMC_H3K27AC_UNSTIM_NEW_20417_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_20417_lociStitched_1,4_RASMC_H3K27AC_UNSTIM_NEW_20417_lociStitched_2,4_RASMC_H3K27AC_UNSTIM_NEW_20417_lociStitched_3
3514	Jkamp	577.2472	529.9624	6_RASMC_H3K27AC_PDGF_24H_REP2_15110_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_15110_lociStitched_1,6_RASMC_H3K27AC_PDGF_24H_REP2_15110_lociStitched_3,6_RASMC_H3K27AC_PDGF_24H_REP2_15110_lociStitched_4,6_RASMC_H3K27AC_PDGF_24H_REP2_15110_lociStitched_5,1_RASMC_H3K27AC_UNSTIM_REP1_11506_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_26491_lociStitched_1
