GENE	test_TSS_SIGNAL	test_DISTAL_SIGNAL	regionID
2237	Eps15	487.2	1584.6549	5_RASMC_H3K27AC_PDGF_24H_NEW_23362_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_23362_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_23362_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_23362_lociStitched_3,1_RASMC_H3K27AC_UNSTIM_REP1_10700_lociStitched,6_RASMC_H3K27AC_PDGF_24H_REP2_13930_lociStitched,2_RASMC_H3K27AC_UNSTIM_REP1_10702_lociStitched
7049	Slc24a3	221.0895	1683.7842	1_RASMC_H3K27AC_PDGF_2H_REP2_17152_lociStitched_1,1_RASMC_H3K27AC_PDGF_2H_REP2_17152_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_NEW_20610_lociStitched
2599	Fmo4	384.138	56.3892	3_RASMC_H3K27AC_UNSTIM_REP1_3567_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_REP1_3567_lociStitched_1,3_RASMC_H3K27AC_UNSTIM_REP1_3567_lociStitched_2,3_RASMC_H3K27AC_UNSTIM_REP1_3567_lociStitched_3,3_RASMC_H3K27AC_UNSTIM_REP1_3567_lociStitched_4
4915	Npr3	583.2	5673.7525	2_RASMC_H3K27AC_UNSTIM_REP1_6926_lociStitched,2_RASMC_H3K27AC_UNSTIM_REP1_6926_lociStitched,1_RASMC_H3K27AC_UNSTIM_REP1_6927_lociStitched,7_RASMC_H3K27AC_UNSTIM_REP1_6924_lociStitched_1,7_RASMC_H3K27AC_UNSTIM_REP1_6924_lociStitched_2,7_RASMC_H3K27AC_UNSTIM_REP1_6924_lociStitched_3,5_RASMC_H3K27AC_UNSTIM_NEW_15998_lociStitched,3_RASMC_H3K27AC_UNSTIM_REP1_6930_lociStitched
2410	Fam217b	97.3276	674.5226	4_RASMC_H3K27AC_PDGF_2H_NEW_19664_lociStitched,4_RASMC_H3K27AC_PDGF_2H_NEW_19664_lociStitched,5_RASMC_H3K27AC_UNSTIM_NEW_21104_lociStitched_1,5_RASMC_H3K27AC_UNSTIM_NEW_21104_lociStitched_3
4561	Mtmr14	464.6	79.8511	5_RASMC_H3K27AC_PDGF_24H_NEW_21610_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_21610_lociStitched_1,5_RASMC_H3K27AC_PDGF_24H_NEW_21610_lociStitched_2,5_RASMC_H3K27AC_PDGF_24H_NEW_21610_lociStitched_3
6203	Rab39a	430.4	2195.3315	1_RASMC_H3K27AC_UNSTIM_NEW_29782_lociStitched,1_RASMC_H3K27AC_UNSTIM_NEW_29782_lociStitched,4_RASMC_H3K27AC_UNSTIM_REP1_12930_lociStitched,5_RASMC_H3K27AC_PDGF_2H_NEW_27842_lociStitched_1,5_RASMC_H3K27AC_PDGF_2H_NEW_27842_lociStitched_3,4_RASMC_H3K27AC_UNSTIM_REP1_12931_lociStitched,4_RASMC_H3K27AC_PDGF_2H_REP2_24846_lociStitched_1,4_RASMC_H3K27AC_PDGF_2H_REP2_24846_lociStitched_2,4_RASMC_H3K27AC_PDGF_2H_REP2_24846_lociStitched_3
7849	Tk2	386.4	46.129	4_RASMC_H3K27AC_PDGF_24H_NEW_13842_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_13842_lociStitched_1,4_RASMC_H3K27AC_PDGF_24H_NEW_13842_lociStitched_2,4_RASMC_H3K27AC_PDGF_24H_NEW_13842_lociStitched_3,3_RASMC_H3K27AC_PDGF_2H_REP2_12365_lociStitched_1
4159	Mcc	48.3383	167.2528	1_RASMC_H3K27AC_UNSTIM_NEW_13855_lociStitched_1,1_RASMC_H3K27AC_UNSTIM_NEW_13855_lociStitched_1,1_RASMC_H3K27AC_UNSTIM_NEW_13855_lociStitched_2
332	Angpt2	74.1942	2067.3526	3_RASMC_H3K27AC_UNSTIM_REP1_5169_lociStitched,3_RASMC_H3K27AC_UNSTIM_REP1_5169_lociStitched,2_RASMC_H3K27AC_UNSTIM_REP1_5170_lociStitched_1,2_RASMC_H3K27AC_UNSTIM_REP1_5170_lociStitched_2,2_RASMC_H3K27AC_UNSTIM_REP1_5171_lociStitched_1,2_RASMC_H3K27AC_UNSTIM_REP1_5171_lociStitched_2,1_RASMC_H3K27AC_PDGF_24H_REP2_7253_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_7254_lociStitched,1_RASMC_H3K27AC_PDGF_24H_REP2_7255_lociStitched,1_RASMC_H3K27AC_PDGF_24H_NEW_11612_lociStitched,2_RASMC_H3K27AC_UNSTIM_NEW_11984_lociStitched
