brd4_unstim	brd4_2	brd4_24	h3k27ac_unstim	h3k27ac_2h	h3k27ac_24h	rna_unstim	rna_2h	rna_24h	brd4_log2_2_v_0	brd4_log2_24_v_0	h3k27ac_log2_2_v_0	h3k27ac_log2_24_v_0	rna_log2_2_v_0	rna_log2_24_v_0
Ccz1b	1074.91855	662.0711	1233.2479	2226.3349	3039.36535	2312.1034	19.8383902952805	21.3759520253513	35.0589269353184	-0.699169284473427	0.198235484322728	0.449099477186422	0.0545352895897722	0.107693706138573	0.821486870634647
Mmadhc	15831.70175	9755.2919	9835.39405	35365.2229	11266.43005	15754.06415	76.3825380667571	58.3854896955366	73.1068837672757	-0.698559391902059	-0.686761579526125	-1.65030090761498	-1.16660729890308	-0.38763299253671	-0.0632356019578539
Psmd1	8534.35215	5275.68515	6557.8294	13038.02355	10792.3872	13747.0093	78.1410674047083	94.4083347555722	131.425429108806	-0.693923173281441	-0.380063270257512	-0.272711172129902	0.0763926042347496	0.272833269425245	0.75009157742813
Armc9	16847.3182	10431.8703	16180.771	28880.8876	13678.4987	30101.4569	17.5135642978063	13.1444452151598	19.6152021712273	-0.691521120039802	-0.0582386051290111	-1.07820518724552	0.0597182331738573	-0.41401947406035	0.163499479379155
Eed	8277.82835	5126.73715	6260.4594	20540.1293	13283.3791	14477.7544	18.1617096550821	19.9302104334491	26.6537901407784	-0.69121140094687	-0.402983805257843	-0.628823069265128	-0.50460741566326	0.134056925655171	0.553440679960267
Khdc3	1695.3875	1050.1555	1402.6115	4832.57225	1491.1723	2941.6804	0.103776910564414	0.107910084314179	0.106576257650611	-0.691012086991677	-0.273499593512792	-1.69634433593085	-0.716150788849177	0.056344199899546	0.0384005872515543
Sri	1006.7145	624.36425	1329.57675	4772.984	5778.65875	4331.41175	90.5567530564173	85.21262231462	130.314812346628	-0.689194760490732	0.40131246026748	0.275843176048513	-0.140054176681783	-0.0877550819857351	0.525106942532686
Ranbp17	4441.59505	2756.4094	3479.63415	14593.4021	5286.956	9935.5666	3.58386490327142	2.45074816032633	2.05111880200636	-0.688287682712154	-0.352142236631002	-1.46480702680481	-0.55464210389653	-0.548294014834634	-0.805105198864609
Rbl2	1154.5178	717.0823	1395.16725	4027.5999	2274.97465	2616.9705	11.9697039613147	6.40964434865612	10.8892450248854	-0.687079803724901	0.273147663651423	-0.82406990429582	-0.622022712185364	-0.901071258019776	-0.136483539183332
Snx19	1987.0927	1235.53045	1916.0989	5098.31585	3663.537	3412.7797	9.72893959954992	7.21327534773303	10.7154750091033	-0.685528610689174	-0.0524871493058399	-0.476783567435543	-0.579073464393467	-0.431628071882202	0.139341332108017
RGD1565685	495.8762	308.6794	560.9917	1597.7948	1462.0217	1452.7981	12.8412612832492	8.90613523132834	18.6792019674839	-0.683870777035203	0.177999442352766	-0.128117414565796	-0.137247918204185	-0.52791548952941	0.540645907465827
Rpp30	21222.37075	13219.668	22266.30405	53421.03655	14398.7583	34662.46545	16.1612571653895	12.4770914409948	11.6482730585091	-0.682899883327648	0.0692762785912731	-1.89146356552798	-0.624033696189189	-0.373257764071845	-0.472423347358717
Trip13	2231.1968	1390.2444	2145.5762	9067.2595	5776.9463	6494.6621	5.90458110532454	6.74242152092037	2.27730219034206	-0.682479244476244	-0.0564526311385229	-0.650359490588526	-0.481412106619572	0.191432111489632	-1.37450896772034
Brd9	2241.6583	1399.8702	2166.7005	9092.788	5800.6082	6507.9052	20.6559702492586	18.7471326191801	18.8164843557278	-0.679273319777772	-0.0490666368247616	-0.648518540243531	-0.482529480969134	-0.139888876103776	-0.134561725624995
Atp5sl	904.8334	567.47765	1378.3199	1464.2723	1138.4882	1057.97825	20.4152208145134	10.4728287535646	20.7417614737659	-0.673088611077938	0.607186678558335	-0.363064527442791	-0.468873897287077	-0.962993999390632	0.0228932467330409
Spata13	224.5275	140.8875	312.43875	296.4375	726.8775	464.29125	1.36841641619979	0.822511441082906	0.968525860320167	-0.672348539552415	0.476681237578549	1.29398428525031	0.647302128927452	-0.734399664706922	-0.498644841179658
Pi15	12199.7649	7656.0191	5531.6721	15983.1465	4568.26235	8646.13245	3.58212934060153	1.35988758985932	1.73095129248758	-0.672187011945228	-1.1410658003339	-1.80683403989394	-0.886424608242883	-1.39733002863089	-1.04925230086737
Foxn3	2471.4416	1553.50195	2687.2311	5836.48355	4210.3488	5545.65775	12.1080317793108	7.62777222467266	8.71376918875067	-0.669828763720075	0.120767581360516	-0.471159658694894	-0.0737408315635584	-0.666630698216411	-0.474595562236997
Thrb	1745.1756	1101.89145	1881.83325	6896.84215	5788.9368	7071.54705	11.3191087425947	7.73620949323691	8.2556703055388	-0.663390100549551	0.108766587872983	-0.252637541572364	0.0360899217383146	-0.549061597989417	-0.455303103757082
Itpka	953.5263	602.17605	1112.9924	1181.34195	1817.0148	1782.2445	0.1078154436207	0.13906847183579	0.136391544114203	-0.66308740152812	0.223099104991002	0.621143544522988	0.593268642636106	0.367231537708443	0.339190357809234
Efnb1	603.6702	382.0158	685.4496	1936.4056	3106.037	2216.7872	2.81548129547995	2.84091500630404	5.70633522752118	-0.660128275989806	0.183290006175691	0.681693844094843	0.195089114130502	0.0129741035848616	1.0191829363251
Tor1aip2	1767.74475	1119.76315	1903.7096	3992.69915	4246.24875	3211.67095	45.1021092640202	46.6595554896914	63.2798767715725	-0.658716366014634	0.106903445885125	0.0888245194556596	-0.31404027906089	0.0489776585689556	0.488551885637743
Pold2	3149.68435	2000.71715	5241.12345	8457.71675	6228.5776	12131.21305	12.497192387791	14.4411841264351	11.5902763350176	-0.654690032517278	0.734668836608474	-0.441365507846431	0.520383668446101	0.208585026773635	-0.108689052787724
Cyp4f1	788.6647	501.8255	1518.958	855.1138	749.1518	1793.2799	0.32809781413048	1.10065438825276	0.358476886886064	-0.652226287845458	0.945598003742171	-0.190858348697025	1.06841235134437	1.74616363814495	0.127754120594715
Ttc21b	884.2394	563.08885	1277.82995	2276.90385	2696.72045	2725.01725	10.9403003061734	9.83316079857648	10.3844730853779	-0.65107443577223	0.531186934736242	0.244132605237473	0.259191992455627	-0.153925199846748	-0.0752243251881408
RGD1564664	5993.15485	3817.1929	6856.8038	10292.24705	8433.46265	16562.98145	121.535047982547	62.3511908690048	54.0382104218339	-0.650803556178234	0.194220591170177	-0.287360986033937	0.686404398855965	-0.962883394720339	-1.16932061175416
Agpat5	6778.00865	4317.87215	6270.7658	16976.69735	8476.21385	13405.7915	19.4191383487716	7.16184833694916	23.9438476211187	-0.6505409514445	-0.112219839026245	-1.00206393236603	-0.340699423088525	-1.43907531518196	0.302175814641638
Fbln5	26590.44715	16951.70485	24385.9615	77913.64325	36705.9671	59024.84735	1113.19042060076	1132.9137088173	509.246807102052	-0.649477664083921	-0.124857181347629	-1.08586136324841	-0.400553571521472	0.0253375799649085	-1.12826346407239
Osr1	10233.0571	6580.9578	10480.94225	41610.072	27158.58505	34624.49555	309.969617252631	69.3414036829828	90.6317117987785	-0.636867735167971	0.0345312118383472	-0.615524466971276	-0.265139732300236	-2.16033786514248	-1.77403897273278
Ebf1	2071.3745	1334.66825	2734.00085	7057.15105	7361.81305	6336.48945	7.00432789369123	6.98270681003709	3.41100910258869	-0.634107228322454	0.400425278214412	0.0609752240736157	-0.155402111569503	-0.00446022415357694	-1.03804801733405
Aste1	237.30105	153.16055	307.31855	1104.6034	1462.8688	1021.7207	0.655060116715079	0.31911203439928	1.26253989187736	-0.631673738091829	0.37301636769223	0.405271911414047	-0.112527601560902	-1.03756429615253	0.946629754706465
Nek11	237.30105	153.16055	307.31855	1104.6034	1462.8688	1021.7207	0.793633307865937	0.540662234141737	0.489929627425902	-0.631673738091829	0.37301636769223	0.405271911414047	-0.112527601560902	-0.55374498914012	-0.695898037131051
Mfap5	9231.14205	5967.4831	9673.8285	15780.0781	10577.17865	11116.56725	3.2193302298329	6.01690725001609	0.373905172633523	-0.629386569360852	0.0675778166195062	-0.577149490472332	-0.505392987100308	0.902261545946449	-3.10601623719917
Tmem192	252.01025	164.0105	229.14415	551.74	504.2284	392.3584	22.9948241063755	24.4874702337261	37.0596598685072	-0.619694234023205	-0.137226959086382	-0.129911198264535	-0.491816489459907	0.090734576599016	0.6885404782555
RGD1566386	842.60785	548.4288	997.53035	1272.3255	1618.5215	1415.79465	0.640928613876038	0.257967920484089	1.41913295994718	-0.619557022269953	0.243499379636573	0.347208726432203	0.154144225290935	-1.31297200861984	1.14677417856457
Gxylt1	1176.9846	766.13455	1725.0998	3085.6175	4770.37925	3359.86765	6.07829819850291	4.37000853054037	5.8802441655872	-0.619425755520949	0.551584382833379	0.628544733202455	0.122845170988681	-0.476031358585952	-0.0477913931661753
Zfp322a	1033.94375	673.3967	1265.58405	5604.7523	5614.4251	3577.70025	11.984352896596	3.70275530238372	10.0690915410471	-0.618629144022929	0.291645622580212	0.00248768756419082	-0.647618095734243	-1.69448089490744	-0.251218486161918
Tor1aip1	2473.34475	1620.76315	2858.0096	6271.19915	10284.14875	6996.57095	21.0122687198574	22.9127599156205	30.8219902437292	-0.60979006723262	0.208547416977257	0.713609142525248	0.15790668917726	0.124919306431985	0.552728082918843
Aktip	933.29395	612.00565	1201.0111	2307.73915	2447.97895	2082.01175	29.9028670560746	17.9424174269408	24.9100073111349	-0.608786571619	0.363846036213126	0.0851109909749592	-0.148501950849786	-0.736909533891309	-0.263558370156058
Mospd2	365.21135	239.5601	520.0703	1326.16615	1170.0932	1004.6692	13.9512941544799	14.2268606748677	16.9670866261184	-0.608343962288068	0.509975049398856	-0.18063808860229	-0.400540982147367	0.0282183932449591	0.282339908761691
Lancl1	726.6009	476.91845	975.60665	2161.46925	1881.7484	1856.39005	29.1213179159608	20.8362052824093	33.0316092912228	-0.607420557031304	0.425136439228625	-0.199938567189767	-0.219512441982927	-0.482983091712224	0.181771611354576
Top2a	1996.56325	1310.65935	3286.05255	3265.08715	3186.8829	4060.1287	30.285427538417	15.552434712059	6.96755161651226	-0.607226009228901	0.718836775347256	-0.0349754907764712	0.314403959459959	-0.961483328072755	-2.11990008786386
Tmem18	900.07865	591.3985	1368.5744	4171.12845	6322.4157	3759.2	16.7454872717213	15.1322623330505	14.725149821214	-0.6059204871828	0.604550889702367	0.600038155087006	-0.150012067887722	-0.146144664897001	-0.185490044340857
Nphp3	1155.41	759.413	1470.854	3700.06625	5060.047	4922.5375	4.37598268798947	5.2516608689279	7.35621385745151	-0.605448285244099	0.348249162537554	0.451599682834503	0.411851094101648	0.263166725178486	0.749356391284723
Rad21	2285.14345	1506.6298	2231.50455	6034.8298	5228.60615	4872.3081	63.6941168256167	41.9441375270003	42.4496972489451	-0.600959763238841	-0.0342679851594578	-0.206886681471486	-0.308707718468233	-0.602690941281439	-0.585405858063645
Ndrg3	1265.98525	835.3372	1541.0809	2391.9704	2485.4325	2393.5089	6.50092493922132	4.90896111594021	10.354281611436	-0.599830004016818	0.283682002996223	0.0552973860607739	0.000927633893173407	-0.405227257538743	0.671510559902899
Pqbp1	644.58845	425.99555	858.60725	2108.0718	2154.86625	1958.2726	25.7410095673194	32.9168138618646	38.9214349630477	-0.59753997786164	0.413620016992216	0.0316743203464274	-0.106342397072623	0.354756061373457	0.59649626321769
Tead2	1601.21685	1059.57895	2457.02305	3881.40385	4077.29195	4988.60435	25.1217076739729	15.8459268421526	27.527879522682	-0.595677614779541	0.617742689323389	0.0710327135057831	0.362057703035115	-0.664822489559478	0.13195894691981
C1qtnf2	2826.1711	1870.67965	3028.7038	11182.2039	4249.1161	10826.59065	32.3839468361077	20.1126617603794	33.0714355416412	-0.595286289707456	0.0998516819896107	-1.39596988836304	-0.0466255546449332	-0.687174802532986	0.030306843669587
Wdr44	559.6105	370.528	682.132	2217.59425	2514.5625	2029.69625	6.76939336571677	6.35067997681612	7.05537071103548	-0.594840464120168	0.285627911412442	0.181311990533871	-0.127731581811076	-0.0921154818479537	0.0596953349594118
Arsi	38621.51265	25581.93705	47172.80415	143241.92395	77967.71035	115908.46055	31.397089601643	16.9636677890303	12.490023743267	-0.594279161563847	0.288550693298271	-0.877505128266161	-0.305467924048887	-0.888182697572232	-1.32985461314318
Hacd4	1143.165	758.2747	1121.5657	3452.8219	1799.2213	3067.5604	6.8070120929776	4.46687963414349	6.92948752658859	-0.592241158585868	-0.0275195173065867	-0.940403274850762	-0.17068416975132	-0.607754292870661	0.0257269883883264
Dnajc19	794.75465	527.8607	841.37445	2623.80015	3464.5678	1954.75525	9.48638600641174	10.2484600732597	11.5112976233353	-0.590352293143848	0.0822384560843723	0.401017552663186	-0.424669854116219	0.111476668824272	0.279119993176876
Alkbh2	833.15075	555.60415	1282.96085	1689.7608	2525.40175	2464.47705	4.40705847218641	1.13584619541908	4.38488211827654	-0.584520184587971	0.622827681704933	0.579693880023008	0.544462511014498	-1.95604854502232	-0.00727797994823032
Cys1	3154.8651	2107.7379	4751.9565	7941.8488	4169.7771	11473.73435	5.55371532934139	1.55526324335327	5.95761590096023	-0.581882840726694	0.590943311773744	-0.929504629647417	0.530788221295033	-1.83629443870666	0.101281883414851
Pygo1	676.59015	452.05155	1143.87805	2178.4365	3059.1408	2840.7932	4.83389856831593	2.56369883213176	3.83799907827908	-0.581794873389779	0.757579173916493	0.489833449650803	0.383000751851341	-0.914960407953955	-0.332832835696457
Endou	13314.6011	8904.77705	14588.096	45938.52695	28686.16795	37936.25055	4.32165569092322	5.47273942319478	0.293460493378517	-0.580357810684735	0.13178239212972	-0.679349338317561	-0.276127500218605	0.340679029943552	-3.88034593519227
Adamts5	4910.9857	3284.7256	4157.93035	14728.1336	6189.91235	10154.40335	9.12380744587184	5.01531519272934	7.82859311453526	-0.580239766180926	-0.24014703000601	-1.2505837327153	-0.536469146059568	-0.863295628132255	-0.220882937071214
Pkia	683.8382	457.6241	966.26495	2887.029	2573.58095	2657.2511	17.1628271165917	14.3092078518124	11.1971866958867	-0.579491984437524	0.498763814860059	-0.165808437299489	-0.119651036017373	-0.262343410180979	-0.616150918551309
Pcca	615.388	412.9305	681.453	1459.119	1299.797	1505.918	13.5058032023819	11.3558303944468	12.1206268782253	-0.575597328311227	0.147117845842532	-0.166811225297517	0.0455456661741653	-0.250146233888112	-0.156115123925542
Mmp28	3933.88865	2642.73015	4690.877	5492.54315	4296.7009	6791.64385	9.46438842132071	2.86769013824341	7.36065886914538	-0.573927003781723	0.253901550023869	-0.354244946285524	0.306286508096589	-1.72262013820774	-0.362674372583799
Slc35f2	2315.96015	1557.1167	2248.61715	6627.3181	6138.75545	5220.35455	6.837354785124	9.94209113539878	4.62777841805776	-0.572733356540718	-0.0425723810579779	-0.110478969736286	-0.344277374569979	0.540111040370532	-0.563118498970672
Crnkl1	3923.68275	2639.76055	3933.3586	15404.57965	9766.8616	14321.98465	11.9832208378788	6.04641601971353	18.4510971919859	-0.571801326817161	0.00355332427214528	-0.657392357151158	-0.105127889600199	-0.986863575164532	0.622690882151109
Il11ra1	4619.3137	3109.9373	6222.49655	15010.5124	10045.70365	15743.8583	51.4908941749514	45.8051792342784	69.6496207188072	-0.570793029468382	0.429815001633223	-0.579394604751307	0.0688159153619434	-0.168806589331672	0.435798172816403
Nkd1	2057.59845	1385.4778	2807.65005	5171.8721	4744.766	8315.4464	0.289105661096387	1.21647821147632	0.309286477564409	-0.57057786679648	0.44840166603805	-0.124349658964434	0.685107116265701	2.07304171597371	0.0973468990752069
RGD1562618	936.718	630.8082	1298.0876	2345.2654	6768.7288	3212.4657	10.1068671881548	9.8298229994481	12.2510518892665	-0.570413374167906	0.470701051887046	1.52913372077617	0.453929857149339	-0.040098532271847	0.277569749666293
Rcan2	7735.1013	5222.5538	6763.75235	17764.42485	4904.59165	10372.49515	15.300362608502	16.467962889025	12.340866774483	-0.566664736286159	-0.193596348081762	-1.8567860503797	-0.776227997370864	0.106096258381378	-0.31012211690962
Abca8a	282.6174	191.1039	341.4528	981.6768	147.5331	302.6985	3.89847539667882	3.18755543842612	4.06536119627067	-0.564493070523542	0.272835873129557	-2.73420945177882	-1.69736659446628	-0.290459595944782	0.0604735078244818
Afap1l2	7396.0756	5002.98695	8338.3395	10817.7831	7596.09915	8657.1845	7.86530809710591	4.23177111007669	5.19652799064137	-0.563970282372928	0.1730001419281	-0.510074234534681	-0.321435065078145	-0.894241683065523	-0.597955256949827
Mrpl16	2661.70035	1802.0898	2593.9164	4798.771	4435.81085	3808.36165	22.9360262967033	17.5201320315567	31.1829544989724	-0.562677260144083	-0.037216180725272	-0.11346712048358	-0.333494481998876	-0.388601816659582	0.44314216211309
